Anbieter,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen
EZV Energie- und Service GmbH & Co. KG Untermain,0.40%,0.80%,0.20%,0.00%,52.90%,45.70%,100.00%,1.00%,0.85%,1.70%,0.42%,0.00%,97.03%,2.12%,9,0.0000,19.1082802547771,http://www.ezv-energie.de/index.php/formulare.html,         
Fair Trade Power Deutschland GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.fairtradepower.de/electricity.php,
FairEnergie GmbH,10.20%,24.20%,7.70%,1.00%,52.50%,4.30%,99.90%,32.90%,21.47%,50.95%,16.21%,2.11%,9.05%,69.26%,265,0.0003,557.894736842105,https://www.fairenergie.de/fileadmin/user_upload/onlineantraege/preislisten/preisblatt_oekomix.pdf,
FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.fanergie.de/wp-content/uploads/2018/11/FAN_Stromkennzeichnung_2018_NEU_V2.pdf,
Feuchter Gemeindewerke GmbH,5.50%,15.70%,5.70%,0.70%,52.90%,19.50%,100.00%,22.10%,11.68%,33.33%,12.10%,1.49%,41.40%,46.92%,178,0.0000,377.91932059448,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/FGW/Strom/Stromvertrieb/Produktinformationen/Stromkennzeichnung_FGW_2017.pdf,
Filderstadtwerke,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.filderstadtwerke.de/de/Privatkunden/Stromkennzeichnung,
First Utility GmbH,8.00%,24.70%,9.30%,1.50%,52.90%,3.60%,100.00%,35.50%,16.99%,52.44%,19.75%,3.18%,7.64%,75.37%,289,0.0002,613.588110403397,https://www.shellprivatenergie.de/energiemix,
Fischereihafen-Betriebsgesellschaft mbH,9.80%,36.70%,10.90%,1.70%,37.40%,3.50%,100.00%,49.30%,15.65%,58.63%,17.41%,2.72%,5.59%,78.75%,,,0,https://www.fbg-bremerhaven.de/fileadmin/user/unternehmen/PDF/Strom/2018/Stromkennzeichnung/Stromkennzeichnung_Gesamtmix_2017.pdf,FEHLER Umweltbelastungen
FischerStrom KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,FischerStrom KG,FEHLER keine Website
Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH,7.10%,30.00%,3.20%,0.40%,52.80%,6.50%,100.00%,33.60%,15.04%,63.56%,6.78%,0.85%,13.77%,71.19%,319,0.0002,675.847457627119,https://www.new-energie.de/sites/new-energie.de/files/website/main-navigation/strom/stromkennzeichnung_der_new_energie.pdf,
Freiberger Stromversorgung GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-freiberg.de/service/informationen/stromkennzeichnung-2016.html,nicht aktuell
Freisinger Stadtwerke Versorgungs-GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.freisinger-stadtwerke.de/de/Energie-Wasser/Strom/Stromkennzeichnung/,
FREITALER STROM+GAS GMBH,8.80%,27.10%,9.90%,1.30%,52.80%,0.10%,100.00%,38.30%,18.64%,57.42%,20.97%,2.75%,0.21%,81.14%,310,0.0002,656.779661016949,https://www.fsg-freital.de/privatkunden/strom/produkte/fsg-mix-strom.html,
friesenenergie GmbH,0.00%,0.00%,0.00%,0.00%,52.30%,47.70%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.friesenenergie.de/seite/330825/ver%C3%B6ffentlichungspflichten.html,
Fulda-Eder Energie GmbH & Co. KG - Eine Marke der Städtische Werke Kassel AG,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177,0.0000,354.709418837675,https://www.fulda-eder-energie.de/produkte/fee-strom/,
fünfwerke GmbH & Co. KG,7.00%,31.10%,8.40%,0.60%,52.90%,0.00%,100.00%,40.10%,14.86%,66.03%,17.83%,1.27%,0.00%,85.14%,349,0.0002,740.976645435244,https://www.fuenfwerke.de/media/PDF-Dokumente/071-120-Stromkennzeichnung-2018.pdf,
Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358,0.0002,760.084925690021,https://ffew.de/download/ffew_grundversorgung_2019.pdf,FEHLER Deutschland-Mix
Fuxx-Die Sparenergie GmbH,6.50%,17.36%,5.64%,1.04%,52.94%,16.52%,100.00%,24.04%,13.81%,36.89%,11.98%,2.21%,35.10%,51.08%,203,0.0002,431.364215894603,https://www.fuxx-sparenergie.de/rechtliches/stromkennzeichnung/,
Gammertinger Energie- und Wasserversorgung GmbH,14.60%,22.60%,5.80%,1.80%,52.90%,2.30%,100.00%,30.20%,31.00%,47.98%,12.31%,3.82%,4.88%,64.12%,236,0.0004,501.061571125265,http://www.gipsprojekt.de/featureGips/ew_gammertingen/EnWGTool/Stromnetz/Grund-und_Ersatzversorgung_-_Sonstiges/Stromkennzeichnung/Stromkennzeichnung-2018-auf-Basis-von-2017.pdf,
GAS IN GmbH,7.20%,30.10%,8.50%,1.30%,52.90%,0.00%,100.00%,39.90%,15.29%,63.91%,18.05%,2.76%,0.00%,84.71%,343,0.0002,728.23779193206,https://www.gas-in.de/downloads/Strommix_GasIn_Strom_2017.pdf,
Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,www.energiegenossenschaft.de/,nicht vorhanden
Gas- und Wärmedienst Börnsen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gas-und-waermedienst-boernsen.de/crbst_18.html,FEHLER fehlerhafte Kennzeichnung
Gas- und Wasserversorgung Höxter GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gwh-hoexter.de/strom/allgemeine-hinweise/stromkennzeichnung/,
GASAG AG,1.30%,4.00%,1.50%,0.20%,52.90%,40.10%,100.00%,5.70%,2.76%,8.49%,3.18%,0.42%,85.14%,12.10%,47,0.0000,99.7876857749469,https://www.gasag.de/-/media/files/stromkennzeichnungen/gasag-stromkennzeichnung.ashx,
GASPAR - eine Marke der rhenag Rheinische Energie AG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://gaspar-energie.de/informationen/klimaschutz/klimaschutz-und-gaspar-strom/,
Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.erftpower.de/index.php?id=1#faq,FEHLER fehlerhafte Kennzeichnung
Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gebruedereirich.de/index.php?cat=Stromversorgung&page=Stromkennzeichnung,FEHLER mit EEG
Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gebr-heinzelmann.com/elektrizitaet/stromhandel/#stromzusammensetzung,FEHLER fehlerhafte Kennzeichnung
Gebrüder Miller KG Elektrizitätsversorgung,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://gebrueder-miller.de/index.php/stromkennzeichnung.html,nicht aktuell
GELSENWASSER AG,0.80%,2.60%,1.00%,0.10%,52.90%,42.50%,99.90%,3.70%,1.70%,5.52%,2.12%,0.21%,90.23%,7.86%,31,0.0000,65.8174097664544,https://www.gelsenwasser.de/strom/allgemeine-hinweise/stromkennzeichnung/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=1&cHash=50823efd7ddafb3b068e5cf817aa806a,
Gemeinde Heroldsbach Stromversorgung,16.30%,20.10%,5.20%,0.90%,52.90%,4.60%,100.00%,26.20%,34.61%,42.68%,11.04%,1.91%,9.77%,55.63%,220,0.0004,467.091295116773,https://www.heroldsbach.de/fileadmin/Downloads/Strom/Energiemix_2018.pdf,
Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://docs.wixstatic.com/ugd/5aed84_1754fc534ad5487abb15d208b8fd8732.pdf,FEHLER mit EEG
Gemeindewerk Hördt,4.70%,15.60%,26.10%,0.60%,52.90%,0.10%,100.00%,42.30%,9.98%,33.12%,55.41%,1.27%,0.21%,89.81%,289,0.0001,613.588110403397,https://www.gemeindewerke-ruelzheim.de/xxximg/imgnews/energietraegermix2018.gif,
Gemeindewerk Kaufungen GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177,0.0000,354.709418837675,https://www.gemeindewerk-kaufungen.de/produkte/strom/,
Gemeindewerke Ammerbuch GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-ammerbuch.de/produkte/stromkennzeichnung,nicht aktuell
Gemeindewerke Bad Sassendorf GmbH & Co. KG,4.60%,13.30%,1.80%,0.30%,52.90%,27.10%,100.00%,15.40%,9.77%,28.24%,3.82%,0.64%,57.54%,32.70%,140,0.0001,297.23991507431,https://www.gw-bad-sassendorf.de/de/stromversorgung/haeufige-fragen/stromkennzeichnung.php,
Gemeindewerke Baiersbronn,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://gemeindewerke-baiersbronn.de/strom/informationen,nicht aktuell
Gemeindewerke Bayerisch Gmain,9.60%,24.60%,8.00%,1.10%,52.90%,3.70%,99.90%,33.70%,20.38%,52.23%,16.99%,2.34%,7.86%,71.55%,277,0.0003,588.110403397028,http://www.bayerisch.gmain.de/medien/energiemix-2018-internet-neu-bg.pdf,
Gemeindewerke Bobenheim-Roxheim,8.70%,28.30%,8.70%,1.30%,52.90%,0.10%,100.00%,38.30%,18.47%,60.08%,18.47%,2.76%,0.21%,81.32%,322,0.0002,683.651804670913,https://www.gemeindewerke-boro.de/_Resources/Persistent/ce59eaa8a4214eadba962100f8b15e451f3c7688/2017_Stromkennzeichnung_BoRo.pdf,
Gemeindewerke Brüggen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.gemeindewerke-brueggen-wasser-strom.de/,nicht vorhanden
Gemeindewerke Budenheim AöR,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-budenheim.de/supermenu/downloads/,FEHLER fehlerhafte Kennzeichnung
Gemeindewerke Cadolzburg,9.00%,24.50%,8.60%,0.90%,52.90%,4.20%,100.10%,34.00%,19.11%,52.02%,18.26%,1.91%,8.92%,72.19%,270,0.0002,573.248407643312,https://www.werke-cadolzburg.de/strom/downloads-strom/netzzugang-entgelte/,
Gemeindewerke Dudenhofen,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.vgrd.de/vg_rd/Werke/Strom/,nicht aktuell
Gemeindewerke Ebersdorf,18.00%,22.10%,5.70%,0.90%,52.90%,0.30%,99.90%,28.70%,38.22%,46.92%,12.10%,1.91%,0.64%,60.93%,242,0.0005,513.80042462845,https://www.ebersdorf.net/media/1993/preisblatt-fuer-die-grund-und-ersatzversorgung-2019.pdf,
Gemeindewerke Eppelborn GmbH & Co. KG,1.80%,2.90%,1.80%,0.00%,52.90%,40.60%,100.00%,4.70%,3.82%,6.16%,3.82%,0.00%,86.20%,9.98%,36,0.0000,76.4331210191083,https://www.kommpower.de/wp-content/uploads/2018/10/Herkunftsnachweise_2018-GWE.png,
Gemeindewerke Everswinkel GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gemeindewerke-everswinkel.de/de-wAssets/docs/preise/20190101-Preisblatt-Strom.pdf,
Gemeindewerke Frammersbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.frammersbach.de/seite/bs/marktgemeinde/0304:324/-/Stromversorgung___E-Werk.html,nicht aktuell
Gemeindewerke Gangkofen,11.80%,31.30%,11.20%,1.60%,44.20%,0.00%,100.10%,44.10%,21.15%,56.09%,20.07%,2.87%,0.00%,79.03%,355,0.0001,636.917562724014,https://www.gangkofen.de/stromkennzeichnung-2019,
Gemeindewerke Garmisch-Partenkirchen,15.50%,19.00%,8.40%,0.90%,52.90%,3.30%,100.00%,28.30%,32.91%,40.34%,17.83%,1.91%,7.01%,60.08%,213,0.0004,452.229299363057,https://www.gw-gap.de/strom/informationen,
Gemeindewerke Georgensgmünd,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-georgensgmuend.de/index.php?id=349,nicht aktuell
Gemeindewerke Grefrath GmbH,8.90%,32.10%,5.30%,0.70%,52.90%,0.10%,100.00%,38.10%,18.90%,68.15%,11.25%,1.49%,0.21%,80.89%,353,0.0001,749.469214437367,https://www.gemeindewerke-grefrath.de/stromkennzeichnung,
Gemeindewerke Großkrotzenburg GmbH,8.66%,26.64%,9.98%,1.60%,52.94%,0.19%,100.01%,38.22%,18.40%,56.61%,21.21%,3.40%,0.40%,81.22%,312,0.0002,662.977050573736,https://www.gemeindewerke-grosskrotzenburg.de/files/pdf/strom-pdf/veroeffentlichungen-EnWG/Stromkennzeichnung%202017.pdf,
Gemeindewerke Gundelfingen GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gwg-gundelfingen.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/gwg-Stromkennzeichnung-2018-10-30.pdf,
Gemeindewerke Halstenbek,13.50%,16.50%,7.00%,0.70%,51.50%,10.80%,100.00%,24.20%,27.84%,34.02%,14.43%,1.44%,22.27%,49.90%,192,0.0004,395.876288659794,https://www.gwhalstenbek.de/strommix.html,
Gemeindewerke Hardt,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.hardt-online.de/gemeindewerke,nicht aktuell
Gemeindewerke Haßloch GmbH,2.30%,7.70%,2.90%,0.30%,52.90%,33.90%,100.00%,10.90%,4.88%,16.35%,6.16%,0.64%,71.97%,23.14%,88,0.0001,186.836518046709,https://www.gwhassloch.de/fileadmin/user_upload/01_Strom/Docs/181101Stromkennzeichnung2018_01.pdf,
Gemeindewerke Heikendorf GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gwh.sh/strom/stromkennzeichnung/,nicht aktuell
Gemeindewerke Hermaringen,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://gemeindewerke-hermaringen.de/site/assets/files/1979/gwh_stromkennzeichnung_2017.pdf,
Gemeindewerke Herxheim,8.50%,28.30%,8.40%,1.30%,52.90%,0.70%,100.10%,38.00%,18.05%,60.08%,17.83%,2.76%,1.49%,80.68%,319,0.0002,677.282377919321,https://www.gemeindewerke-herxheim.de/fileadmin/user_upload/2018-11-14_Strommix_2017_GW_Herxheim_2.jpg,
Gemeindewerke Heusweiler GmbH,3.00%,4.70%,2.70%,0.00%,52.90%,36.70%,100.00%,7.40%,6.37%,9.98%,5.73%,0.00%,77.92%,15.71%,57,0.0001,121.019108280255,https://www.kommpower.de/stromkennzeichnung/,
Gemeindewerke Hohenwestedt GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-hohenwestedt.de/strom/,nicht aktuell
Gemeindewerke Holzkirchen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gw-holzkirchen.de/de/Kopfnavigation/Veroeffentlichungspflichten/Stromnetz/Stromnetz.html,nicht aktuell
Gemeindewerke Hünxe GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gemeindewerke-huenxe.de/strom/allgemeine-hinweise/stromkennzeichnung/,
Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach,9.70%,33.30%,3.60%,0.50%,52.90%,0.00%,100.00%,37.40%,20.59%,70.70%,7.64%,1.06%,0.00%,79.41%,360,0.0003,764.331210191083,https://www.stadtwerke-ramstein.de/fileadmin/dokumente/Strom/pdf/Stromkennzeichnung/Stromkennzeichung_Huetschenhausen_2017.pdf,
Gemeindewerke Kahl Versorgungsgesellschaft mbH,2.10%,4.50%,1.10%,0.10%,52.90%,39.30%,100.00%,5.70%,4.46%,9.55%,2.34%,0.21%,83.44%,12.10%,49,0.0001,104.033970276009,https://www.gemeindewerke-kahl.de/index.php/strom/stromkennzeichnung,
Gemeindewerke Kiefersfelden,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-kiefersfelden.de/strom/vertrieb/energietraegermix/,nicht aktuell
Gemeindewerke Kirkel GmbH,8.50%,28.80%,3.10%,0.50%,52.90%,6.20%,100.00%,32.40%,18.05%,61.15%,6.58%,1.06%,13.16%,68.79%,357,0.0002,757.96178343949,https://www.gwkirkel.de/strom/infos-rund-um-strom/energietraegermix/,
Gemeindewerke Kleinblittersdorf GmbH & Co. KG,0.40%,0.70%,0.40%,0.00%,52.90%,45.60%,100.00%,1.10%,0.85%,1.49%,0.85%,0.00%,96.82%,2.34%,8,0.0000,16.9851380042463,https://www.kommpower.de/stromkennzeichnung/,
Gemeindewerke Krauchenwies,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-krauchenwies.de/site/Krauchenwies-Gemeindewerke/search/14698674/Lde/index.html?viewSecurityToken=96fc24256e6282d5ea56d7e860b84da272753836&page=1&sort=mimetype&order=desc&query=stromkennzeichnung&_sectionFilter=on&exclusionWords=&finishParam=%7B%27page%27%3A%271%27%7D,nicht aktuell
Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,7.10%,26.60%,12.30%,1.00%,52.90%,0.10%,100.00%,39.90%,15.07%,56.48%,26.11%,2.12%,0.21%,84.71%,295,0.0002,626.326963906582,https://www.swk-kl.de/de/privatkunden/produkte-leistungen/strom/energietraegermix.html,
Gemeindewerke Lam,10.40%,27.40%,9.80%,1.40%,50.90%,0.10%,100.00%,38.60%,21.18%,55.80%,19.96%,2.85%,0.20%,78.62%,328,0.0003,668.024439918534,http://www.markt-lam.de/Dox.aspx?docid=1da01b38-1ac2-438d-98d6-2b7de5bb1c44,
Gemeindewerke Leck GmbH,4.20%,0.00%,0.00%,18.30%,52.90%,24.60%,100.00%,18.30%,8.92%,0.00%,0.00%,38.85%,52.23%,38.85%,149,0.0001,316.348195329087,https://www.gemeindewerke-leck.de/fileadmin/media/Strom/_2018_Stromkennzeichnung_Leck.pdf,FEHLER Kohle und sonstige Fossile zusammengefasst
Gemeindewerke Markt Lichtenau,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://gemeindewerke.markt-lichtenau.de/stromvertrieb/veroeffentlichungen/,
Gemeindewerke Markt Stockstadt am Main,18.10%,22.20%,5.70%,0.90%,52.90%,0.10%,99.90%,28.80%,38.43%,47.13%,12.10%,1.91%,0.21%,61.15%,243,0.0005,515.923566878981,https://www.stockstadt-am-main.de/eigene_dateien/online/2/2018/november/stromkennzeichnung_2019_neu.pdf,
Gemeindewerke Münchweiler AöR,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gw-muenchweiler.de/index.php?view=content&ID_NODE_VIEW=1&ID_NODE_VIEW2=97&ID_NODE_AKTIV=101&wsp=Strom&sub_hcolor=d10000,nicht aktuell
Gemeindewerke Neuendettelsau,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gw-neuendettelsau.de/showpage.php?SiteID=59&lang=1,nicht aktuell
Gemeindewerke Niefern-Öschelbronn,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.niefern-oeschelbronn.de/gemeindewerke/stromvertrieb/,nicht aktuell
Gemeindewerke Nüdlingen,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.nuedlingen.de/gemeindewerke/stromversorgung/index.html,
Gemeindewerke Nümbrecht GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gwn24.de/strom/strommix/,
Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,8.50%,26.20%,9.80%,1.60%,52.90%,1.00%,100.00%,37.60%,18.05%,55.63%,20.81%,3.40%,2.12%,79.83%,307,0.0002,651.804670912951,http://www.gemeindewerke-oberaudorf.de/strom/veroeffentlichungen/stromkennzeichnung_gem_42_EnWG_2018.pdf,
Gemeindewerke Oberhaching GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.oberhachinger-strom.de/oberhachinger-strom/stromkennzeichnung/,nicht aktuell
Gemeindewerke Partenstein,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.vg-partenstein.de/seite/vg/spessart/1165/-/Stromkennzeichnung_2016.html,nicht aktuell
Gemeindewerke Peiner Land GmbH & Co.KG,2.40%,5.50%,1.20%,0.20%,52.90%,37.80%,100.00%,6.90%,5.10%,11.68%,2.55%,0.42%,80.25%,14.65%,57,0.0001,121.019108280255,https://www.gemeindewerke-peinerland.de/privatkunden/produkte-tarife/strom/strom-pe-lk/stromkennzeichnung-gemeindewerke-peine-land.html,
Gemeindewerke Peißenberg KU,7.00%,27.50%,6.30%,0.70%,52.90%,5.60%,100.00%,34.50%,14.86%,58.39%,13.38%,1.49%,11.89%,73.25%,306,0.0002,649.68152866242,https://www.gemeindewerke-peissenberg.de/strom-vertrieb/stromkennzeichnung/energietraegermix-und-umweltauswirkungen.html,
Gemeindewerke Pleinfeld,9.70%,26.50%,9.30%,0.90%,52.90%,0.60%,99.90%,36.70%,20.59%,56.26%,19.75%,1.91%,1.27%,77.92%,292,0.0003,619.957537154989,https://www.gw-pleinfeld.de/images/content/Stromkennzeichnung%202017.jpg,
Gemeindewerke Rückersdorf,8.10%,22.10%,7.70%,0.80%,52.90%,8.50%,100.10%,30.60%,17.20%,46.92%,16.35%,1.70%,18.05%,64.97%,243,0.0002,515.923566878981,https://gemeindewerke.rueckersdorf.de/fileadmin/Dateien/Dateien/Strom_Veroeffentlichungen/2017_Stromkennzeichnung_nach____42_EnWG.pdf,
Gemeindewerke Ruppichteroth,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://gemeindewerkeruppichteroth.de/,nicht vorhanden
Gemeindewerke Schönkirchen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.gemeindewerke-schoenkirchen.de/fileadmin/user_upload/GWS_Energiemix_2018_neu.pdf,FEHLER fehlerhafte Kennzeichnung
Gemeindewerke Schutterwald,9.50%,27.30%,8.10%,1.70%,52.90%,0.50%,100.00%,37.10%,20.17%,57.96%,17.20%,3.61%,1.06%,78.77%,306,0.0003,649.68152866242,https://www.gemeindewerke-schutterwald.de/fileadmin/Dateien/Dateien/Stromkennzeichnung_Internet_2017.pdf,
Gemeindewerke Schwarzenbruck GmbH,4.30%,12.40%,4.50%,0.60%,52.90%,25.30%,100.00%,17.50%,9.13%,26.33%,9.55%,1.27%,53.72%,37.15%,141,0.0001,299.363057324841,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/GWS/Strom/Stromvertrieb/Formulare__Hilfen/Stromkennzeichnung_GWS_2017.pdf,
Gemeindewerke Sinzheim,8.50%,26.10%,9.80%,1.60%,52.90%,1.10%,100.00%,37.50%,18.05%,55.41%,20.81%,3.40%,2.34%,79.62%,306,0.0002,649.68152866242,http://www.gw-sinzheim.de/pdf.php3?id=f2f637dbdcfc4517972ea5d13a869fbf,
Gemeindewerke St. Michel-Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-st-michel.de/dithmarschenstrom.html,nicht aktuell
Gemeindewerke Stammbach,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,http://www.gemeindewerke-stammbach.de/xist4c/download/web/Stromkennzeichnung2018_uplId_7699__coId_2233_.pdf;jsessionid=927869859B5C337310484A66FE4105E8,
Gemeindewerke Steinhagen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gs-werke.de/strom/download,nicht aktuell
Gemeindewerke Steißlingen,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.steisslingen.de/gemeindewerke/stromtarife/,nicht aktuell
Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG,8.70%,28.70%,8.50%,1.30%,52.80%,0.00%,100.00%,38.50%,18.43%,60.81%,18.01%,2.75%,0.00%,81.57%,314,0.0002,665.254237288136,https://www.swk-kl.de/no_cache/de/unternehmen/ver-entsorger-gemeinden/gemeindewerke/stelzenberg.html,
