,Lichtblick Liste,RoWo Liste,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
263,True,True,EWG Elektrizitätsversorgung Werther GmbH,32.40%,8.40%,5.40%,0.40%,52.90%,0.50%,100.00%,14.20%,68.79%,17.83%,11.46%,0.85%,1.06%,30.15%,106.0,0.0009,225.05307855626305,https://www.ewg-werther.de/fileadmin/content/documents/Dokumente_fuer_Tarife/EWG_Stromkennzeichung.pdf,,Alte Bielefelder Straße 28,33824,Werther,https://www.ewg-werther.de,,A,x,,,,,,,,,
264,True,True,E WIE EINFACH GmbH,13.40%,19.50%,5.10%,0.80%,52.90%,8.30%,100.00%,25.40%,28.45%,41.40%,10.83%,1.70%,17.62%,53.93%,215.0,0.0003,456.475583864119,https://www.e-wie-einfach.de/files/e-wie-einfach.de/rechtliches/stromkennzeichnung.pdf,,Salierring 47-53,50677,Köln,https://www.e-wie-einfach.de,,A,x,,,,,,,,,
265,True,True,EWR AG,5.00%,26.90%,2.90%,0.30%,50.10%,14.80%,100.00%,30.10%,10.02%,53.91%,5.81%,0.60%,29.66%,60.32%,279.0,0.0001,559.118236472946,https://www.ewr.de/fileadmin/media/PDF/Produkte/Stromkennzeichnung_EWR_2018_01.pdf,,,,,,,A,x,,,,,,,,,
266,True,True,EWR GmbH - Energie und Wasser für Remscheid,7.60%,24.70%,5.40%,0.80%,52.90%,8.60%,100.00%,30.90%,16.14%,52.44%,11.46%,1.70%,18.26%,65.61%,275.0,0.0002,583.864118895966,https://www.ewr-remscheid.de/fileadmin/EWR_Homepage/Strom/Downloads/Energietr%C3%A4germix_2019__Bezugsjahr_2017_.pdf,,Neuenkamper Straße 81-87,42855,Remscheid,https://www.ewr-remscheid.de,,A,x,,,,,,,,,
267,True,True,ew-schmid gmbh,6.60%,31.70%,7.40%,1.20%,52.90%,0.20%,100.00%,40.30%,14.01%,67.30%,15.71%,2.55%,0.42%,85.56%,358.0,0.0002,760.084925690021,https://ew-schmid.de/stromkennzeichnung/,,Untere Ringstr. 28,94437,Mamming,https://ew-schmid.de,,A,x,,,,,,,,,
268,True,True,EWV Energie- und Wasser-Versorgung GmbH Stolberg,9.80%,32.70%,5.40%,0.60%,49.00%,2.50%,100.00%,38.70%,19.22%,64.12%,10.59%,1.18%,4.90%,75.88%,357.0,0.0003,700.0,https://www.ewv.de/fileadmin/uploads/Dokumente/privatkunden/produkte/EWVSTROM/Stromkennzeichnung.pdf,,Willy-Brandt-Platz 2,52222,Stolberg,https://www.ewv.de,,A,x,,,,,,,,,
269,True,,ExtraEnergie GmbH,0.00%,0.00%,0.00%,0.00%,49.00%,51.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.extraenergie.com/sites/default/files/pictures/content_img/18092018_Stromkennzeichnung_extraenergie.png,,,,,,,,,,,,,,,,,
270,True,True,EZV Energie- und Service GmbH & Co. KG Untermain,0.40%,0.80%,0.20%,0.00%,52.90%,45.70%,100.00%,1.00%,0.85%,1.70%,0.42%,0.00%,97.03%,2.12%,9.0,0.0,19.108280254777103,http://www.ezv-energie.de/index.php/formulare.html,         ,Landstraße 47,63939,Wörth a. Main,http://ezv-energie.de,,A,x,,?,,,,x,,,
271,True,True,FairEnergie GmbH,10.20%,24.20%,7.70%,1.00%,52.50%,4.30%,99.90%,32.90%,21.47%,50.95%,16.21%,2.11%,9.05%,69.26%,265.0,0.0003,557.894736842105,https://www.fairenergie.de/fileadmin/user_upload/onlineantraege/preislisten/preisblatt_oekomix.pdf,,Hauffstraße 89,72762,Reutlingen,https://www.fairenergie.de,,A,x,,,,,,,,,
272,True,,Fair Trade Power Deutschland GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.fairtradepower.de/electricity.php,,,,,,,,,,,,,,,,,
273,True,,FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.fanergie.de/wp-content/uploads/2018/11/FAN_Stromkennzeichnung_2018_NEU_V2.pdf,,,,,,,,,,,,,,,,,
274,True,True,Feuchter Gemeindewerke GmbH,5.50%,15.70%,5.70%,0.70%,52.90%,19.50%,100.00%,22.10%,11.68%,33.33%,12.10%,1.49%,41.40%,46.92%,178.0,0.0,377.91932059448,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/FGW/Strom/Stromvertrieb/Produktinformationen/Stromkennzeichnung_FGW_2017.pdf,,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,,A,x,,,,,,,,,
275,True,True,Filderstadtwerke,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.filderstadtwerke.de/de/Privatkunden/Stromkennzeichnung,,Brühlstraße 41,70794,Filderstadt-Sielmingen,https://www.filderstadtwerke.de,,R,,,,,,,,KlimaINVEST,,
276,True,True,First Utility GmbH,8.00%,24.70%,9.30%,1.50%,52.90%,3.60%,100.00%,35.50%,16.99%,52.44%,19.75%,3.18%,7.64%,75.37%,289.0,0.0002,613.588110403397,https://www.shellprivatenergie.de/energiemix,,,,,,,A,x,,,,,,,,,
277,True,True,Fischereihafen-Betriebsgesellschaft mbH,9.80%,36.70%,10.90%,1.70%,37.40%,3.50%,100.00%,49.30%,15.65%,58.63%,17.41%,2.72%,5.59%,78.75%,,,0.0,https://www.fbg-bremerhaven.de/fileadmin/user/unternehmen/PDF/Strom/2018/Stromkennzeichnung/Stromkennzeichnung_Gesamtmix_2017.pdf,FEHLER Umweltbelastungen,Lengstraße 1,27572,Bremerhaven,https://www.fbg-bremerhaven.de,,A,x,,,,,,,,,
278,True,True,FischerStrom KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,FischerStrom KG,FEHLER keine Website,,,,,,A,x,,,,,,,,,
279,True,True,Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH,7.10%,30.00%,3.20%,0.40%,52.80%,6.50%,100.00%,33.60%,15.04%,63.56%,6.78%,0.85%,13.77%,71.19%,319.0,0.0002,675.847457627119,https://www.new-energie.de/sites/new-energie.de/files/website/main-navigation/strom/stromkennzeichnung_der_new_energie.pdf,,,,,,,A,x,,,,,,,,,
280,True,True,Freiberger Stromversorgung GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.stadtwerke-freiberg.de/service/informationen/stromkennzeichnung-2016.html,nicht aktuell,Poststraße 5,09599,Freiberg,https://www.stadtwerke-freiberg.de/,,A,x,,,,,,,,,
281,True,True,Freisinger Stadtwerke Versorgungs-GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.freisinger-stadtwerke.de/de/Energie-Wasser/Strom/Stromkennzeichnung/,,Wippenhauser Str. 19,85354,Freising,https://www.freisinger-stadtwerke.de,,R?,,,,,,,,TÜV Süd,,
282,True,True,FREITALER STROM+GAS GMBH,8.80%,27.10%,9.90%,1.30%,52.80%,0.10%,100.00%,38.30%,18.64%,57.42%,20.97%,2.75%,0.21%,81.14%,310.0,0.0002,656.779661016949,https://www.fsg-freital.de/privatkunden/strom/produkte/fsg-mix-strom.html,,Potschappler Straße 2,01705,Freital/Sachsen,https://www.fsg-freital.de,,A,x,,,,,,,,,
283,True,,friesenenergie GmbH,0.00%,0.00%,0.00%,0.00%,52.30%,47.70%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.friesenenergie.de/seite/330825/ver%C3%B6ffentlichungspflichten.html,,,,,,,,,,,,,,,,,
284,True,True,Fulda-Eder Energie GmbH & Co. KG - Eine Marke der Städtische Werke Kassel AG,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177.0,0.0,354.709418837675,https://www.fulda-eder-energie.de/produkte/fee-strom/,,,,,,,A,x,,,,,,,,,
285,True,True,fünfwerke GmbH & Co. KG,7.00%,31.10%,8.40%,0.60%,52.90%,0.00%,100.00%,40.10%,14.86%,66.03%,17.83%,1.27%,0.00%,85.14%,349.0,0.0002,740.976645435244,https://www.fuenfwerke.de/media/PDF-Dokumente/071-120-Stromkennzeichnung-2018.pdf,,,,,,,A,x,,,,,,,,,
286,True,True,Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358.0,0.0002,760.084925690021,https://ffew.de/download/ffew_grundversorgung_2019.pdf,FEHLER Deutschland-Mix,,,,,,A,x,,,,,,,,,
287,True,True,Fuxx-Die Sparenergie GmbH,6.50%,17.36%,5.64%,1.04%,52.94%,16.52%,100.00%,24.04%,13.81%,36.89%,11.98%,2.21%,35.10%,51.08%,203.0,0.0002,431.364215894603,https://www.fuxx-sparenergie.de/rechtliches/stromkennzeichnung/,,,,,,,A,x,,,,,,,,,
288,True,True,Gammertinger Energie- und Wasserversorgung GmbH,14.60%,22.60%,5.80%,1.80%,52.90%,2.30%,100.00%,30.20%,31.00%,47.98%,12.31%,3.82%,4.88%,64.12%,236.0,0.0004,501.06157112526495,http://www.gipsprojekt.de/featureGips/ew_gammertingen/EnWGTool/Stromnetz/Grund-und_Ersatzversorgung_-_Sonstiges/Stromkennzeichnung/Stromkennzeichnung-2018-auf-Basis-von-2017.pdf,,,,,,,A,x,,,,,,,,,
289,True,True,GASAG AG,1.30%,4.00%,1.50%,0.20%,52.90%,40.10%,100.00%,5.70%,2.76%,8.49%,3.18%,0.42%,85.14%,12.10%,47.0,0.0,99.7876857749469,https://www.gasag.de/-/media/files/stromkennzeichnungen/gasag-stromkennzeichnung.ashx,,,,,,,A,x,,,,,,,,,
290,True,True,GAS IN GmbH,7.20%,30.10%,8.50%,1.30%,52.90%,0.00%,100.00%,39.90%,15.29%,63.91%,18.05%,2.76%,0.00%,84.71%,343.0,0.0002,728.23779193206,https://www.gas-in.de/downloads/Strommix_GasIn_Strom_2017.pdf,,,,,,,A,x,,,,,,,,,
291,True,True,GASPAR - eine Marke der rhenag Rheinische Energie AG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://gaspar-energie.de/informationen/klimaschutz/klimaschutz-und-gaspar-strom/,,Bayenthalgürtel 9,50968,Köln,https://gaspar-energie.de,,?,,Marke der rhenag AG,?,,,,,,,
292,True,True,Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,www.energiegenossenschaft.de/,nicht vorhanden,,,,,,A,x,,,,,,,,,
293,True,True,Gas- und Wärmedienst Börnsen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gas-und-waermedienst-boernsen.de/crbst_18.html,FEHLER fehlerhafte Kennzeichnung,,,,,,A,x,,,,,,,,,
294,True,True,Gas- und Wasserversorgung Höxter GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.gwh-hoexter.de/strom/allgemeine-hinweise/stromkennzeichnung/,,Corveyer Allee 21,37671,Höxter,https://www.gwh-hoexter.de,,R?,,,,,,,,,,
295,True,True,Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.erftpower.de/index.php?id=1#faq,FEHLER fehlerhafte Kennzeichnung,,,,,,A,x,,,,,,,,,
296,True,True,Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gebruedereirich.de/index.php?cat=Stromversorgung&page=Stromkennzeichnung,FEHLER mit EEG,Walldürner Str. 50,74736,Hardheim,https://www.gebruedereirich.de,,A,x,,?,,,,,,,
297,True,True,Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gebr-heinzelmann.com/elektrizitaet/stromhandel/#stromzusammensetzung,FEHLER fehlerhafte Kennzeichnung,Halmeil 3,77709,Wolfach-Halbmeil,https://www.gebr-heinzelmann.com,,A,x,regional erzeugter Strom,,,,,,,,
298,True,True,Gebrüder Miller KG Elektrizitätsversorgung,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://gebrueder-miller.de/index.php/stromkennzeichnung.html,nicht aktuell,,,,,,A,x,,,,,,,,,
299,True,True,GELSENWASSER AG,0.80%,2.60%,1.00%,0.10%,52.90%,42.50%,99.90%,3.70%,1.70%,5.52%,2.12%,0.21%,90.23%,7.86%,31.0,0.0,65.8174097664544,https://www.gelsenwasser.de/strom/allgemeine-hinweise/stromkennzeichnung/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=1&cHash=50823efd7ddafb3b068e5cf817aa806a,,,,,,,A,x,,,,,,,,,
300,True,True,Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://docs.wixstatic.com/ugd/5aed84_1754fc534ad5487abb15d208b8fd8732.pdf,FEHLER mit EEG,,,,,,A,x,,,,,,,,,
301,True,True,Gemeinde Heroldsbach Stromversorgung,16.30%,20.10%,5.20%,0.90%,52.90%,4.60%,100.00%,26.20%,34.61%,42.68%,11.04%,1.91%,9.77%,55.63%,220.0,0.0004,467.091295116773,https://www.heroldsbach.de/fileadmin/Downloads/Strom/Energiemix_2018.pdf,,Hauptstraße 9,91336,Heroldsbach,https://www.heroldsbach.de,,A,x,,?,,,,,,,
302,True,True,Gemeindewerke Ammerbuch GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-ammerbuch.de/produkte/stromkennzeichnung,nicht aktuell,Kirchstraße 6,72119,Ammerbuch,https://www.gemeindewerke-ammerbuch.de,,A,x,,,,,,,,,
303,True,True,Gemeindewerke Bad Sassendorf GmbH & Co. KG,4.60%,13.30%,1.80%,0.30%,52.90%,27.10%,100.00%,15.40%,9.77%,28.24%,3.82%,0.64%,57.54%,32.70%,140.0,0.0001,297.23991507431,https://www.gw-bad-sassendorf.de/de/stromversorgung/haeufige-fragen/stromkennzeichnung.php,,Eichendorffstraße 1,59505,Bad Sassendorf,https://www.gw-bad-sassendorf.de,,A,x,,,,,,,,,
304,True,True,Gemeindewerke Baiersbronn,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://gemeindewerke-baiersbronn.de/strom/informationen,nicht aktuell,Oberdorfstr. 46,72270,Baiersbronn,https://gemeindewerke-baiersbronn.de,,A,x,,,,,,,,,
305,True,True,Gemeindewerke Bayerisch Gmain,9.60%,24.60%,8.00%,1.10%,52.90%,3.70%,99.90%,33.70%,20.38%,52.23%,16.99%,2.34%,7.86%,71.55%,277.0,0.0003,588.110403397028,http://www.bayerisch.gmain.de/medien/energiemix-2018-internet-neu-bg.pdf,,,,,,,A,x,,,,,,,,,
306,True,True,Gemeindewerke Bobenheim-Roxheim,8.70%,28.30%,8.70%,1.30%,52.90%,0.10%,100.00%,38.30%,18.47%,60.08%,18.47%,2.76%,0.21%,81.32%,322.0,0.0002,683.6518046709132,https://www.gemeindewerke-boro.de/_Resources/Persistent/ce59eaa8a4214eadba962100f8b15e451f3c7688/2017_Stromkennzeichnung_BoRo.pdf,,Rathausplatz,67240,Bobenheim-Roxheim,https://www.stw-frankenthal.de,,A,x,,,,,,,,x,
307,True,True,Gemeindewerke Brüggen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.gemeindewerke-brueggen-wasser-strom.de/,nicht vorhanden,,,,,,A,x,,,,,,,,,
308,True,True,Gemeindewerke Budenheim AöR,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-budenheim.de/supermenu/downloads/,FEHLER fehlerhafte Kennzeichnung,Untere Stefanstr. 65,55257,Budenheim,https://www.gemeindewerke-budenheim.de,,A,x,,,,,,,,,
309,True,True,Gemeindewerke Cadolzburg,9.00%,24.50%,8.60%,0.90%,52.90%,4.20%,100.10%,34.00%,19.11%,52.02%,18.26%,1.91%,8.92%,72.19%,270.0,0.0002,573.248407643312,https://www.werke-cadolzburg.de/strom/downloads-strom/netzzugang-entgelte/,,,,,,,A,x,,,,,,,,,
310,True,True,Gemeindewerke Dudenhofen,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.vgrd.de/vg_rd/Werke/Strom/,nicht aktuell,,,,,,A,x,,,,,,,,,
311,True,True,Gemeindewerke Ebersdorf,18.00%,22.10%,5.70%,0.90%,52.90%,0.30%,99.90%,28.70%,38.22%,46.92%,12.10%,1.91%,0.64%,60.93%,242.0,0.0005,513.8004246284501,https://www.ebersdorf.net/media/1993/preisblatt-fuer-die-grund-und-ersatzversorgung-2019.pdf,,,,,,,A,x,,,,,,,,,
312,True,True,Gemeindewerke Eppelborn GmbH & Co. KG,1.80%,2.90%,1.80%,0.00%,52.90%,40.60%,100.00%,4.70%,3.82%,6.16%,3.82%,0.00%,86.20%,9.98%,36.0,0.0,76.4331210191083,https://www.kommpower.de/wp-content/uploads/2018/10/Herkunftsnachweise_2018-GWE.png,,,,,,,A,x,,,,,,,,,
313,True,,Gemeindewerke Everswinkel GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.gemeindewerke-everswinkel.de/de-wAssets/docs/preise/20190101-Preisblatt-Strom.pdf,,,,,,,,,,,,,,,,,
314,True,True,Gemeindewerke Frammersbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.frammersbach.de/seite/bs/marktgemeinde/0304:324/-/Stromversorgung___E-Werk.html,nicht aktuell,Marktplatz 3 (Rathaus),97833,Frammersbach,https://www.frammersbach.de,,A,x,,,,,,,,,
315,True,True,Gemeindewerke Gangkofen,11.80%,31.30%,11.20%,1.60%,44.20%,0.00%,100.10%,44.10%,21.15%,56.09%,20.07%,2.87%,0.00%,79.03%,355.0,0.0001,636.917562724014,https://www.gangkofen.de/stromkennzeichnung-2019,,,,,,,A,x,,,,,,,,,
316,True,True,Gemeindewerke Garmisch-Partenkirchen,15.50%,19.00%,8.40%,0.90%,52.90%,3.30%,100.00%,28.30%,32.91%,40.34%,17.83%,1.91%,7.01%,60.08%,213.0,0.0004,452.229299363057,https://www.gw-gap.de/strom/informationen,,Adlerstraße 25,82467,Garmisch-Partenkirchen,https://www.gw-gap.de,,A,x,,,,,,,,,
317,True,True,Gemeindewerke Georgensgmünd,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-georgensgmuend.de/index.php?id=349,nicht aktuell,Bahnhofstrasse 4,91166,Georgensgmünd,https://www.gemeindewerke-georgensgmuend.de,,A,x,,,,,,,,,
318,True,True,Gemeindewerke Grefrath GmbH,8.90%,32.10%,5.30%,0.70%,52.90%,0.10%,100.00%,38.10%,18.90%,68.15%,11.25%,1.49%,0.21%,80.89%,353.0,0.0001,749.469214437367,https://www.gemeindewerke-grefrath.de/stromkennzeichnung,,,,,,,A,x,,,,,,,,,
319,True,True,Gemeindewerke Großkrotzenburg GmbH,8.66%,26.64%,9.98%,1.60%,52.94%,0.19%,100.01%,38.22%,18.40%,56.61%,21.21%,3.40%,0.40%,81.22%,312.0,0.0002,662.9770505737359,https://www.gemeindewerke-grosskrotzenburg.de/files/pdf/strom-pdf/veroeffentlichungen-EnWG/Stromkennzeichnung%202017.pdf,,Anne-Frank-Platz 10,63538,Großkrotzenburg,https://www.gemeindewerke-grosskrotzenburg.de,,A,x,,,,,,,,,
320,True,True,Gemeindewerke Gundelfingen GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.gwg-gundelfingen.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/gwg-Stromkennzeichnung-2018-10-30.pdf,,Alte Bundesstr. 31,79194,Gundelfingen,https://www.gwg-gundelfingen.de,,R,?,30 % gehören badenova (verkaufen auch normalstrom),,,,,,,,
321,True,True,Gemeindewerke Halstenbek,13.50%,16.50%,7.00%,0.70%,51.50%,10.80%,100.00%,24.20%,27.84%,34.02%,14.43%,1.44%,22.27%,49.90%,192.0,0.0004,395.876288659794,https://www.gwhalstenbek.de/strommix.html,,Ostereschweg 9,25469,Halstenbek,https://www.gwhalstenbek.de,,A,x,,,,,,,,,
322,True,True,Gemeindewerke Hardt,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.hardt-online.de/gemeindewerke,nicht aktuell,Mariazeller Str. 1,78739,Hardt,https://www.hardt-online.de,,A,x,,,,,,,,,
323,True,True,Gemeindewerke Haßloch GmbH,2.30%,7.70%,2.90%,0.30%,52.90%,33.90%,100.00%,10.90%,4.88%,16.35%,6.16%,0.64%,71.97%,23.14%,88.0,0.0001,186.836518046709,https://www.gwhassloch.de/fileadmin/user_upload/01_Strom/Docs/181101Stromkennzeichnung2018_01.pdf,,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch,https://www.gwhassloch.de,,A,x,,,,,,,,,
324,True,True,Gemeindewerke Heikendorf GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gwh.sh/strom/stromkennzeichnung/,nicht aktuell,Wasserwaage 1,24226,Heikendorf,https://www.gwh.sh,,A,x,,,,,,,,,
325,True,True,Gemeindewerke Hermaringen,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://gemeindewerke-hermaringen.de/site/assets/files/1979/gwh_stromkennzeichnung_2017.pdf,,Karlstr. 12,89568,Hermaringen,https://gemeindewerke-hermaringen.de,,R?,,,,,,,,KlimaINVEST,,
326,True,True,Gemeindewerke Herxheim,8.50%,28.30%,8.40%,1.30%,52.90%,0.70%,100.10%,38.00%,18.05%,60.08%,17.83%,2.76%,1.49%,80.68%,319.0,0.0002,677.282377919321,https://www.gemeindewerke-herxheim.de/fileadmin/user_upload/2018-11-14_Strommix_2017_GW_Herxheim_2.jpg,,Am Rathaus 6,76863,Herxheim,https://www.gemeindewerke-herxheim.de,,A,x,,x,,,,,TÜV Nord,,
327,True,True,Gemeindewerke Heusweiler GmbH,3.00%,4.70%,2.70%,0.00%,52.90%,36.70%,100.00%,7.40%,6.37%,9.98%,5.73%,0.00%,77.92%,15.71%,57.0,0.0001,121.019108280255,https://www.kommpower.de/stromkennzeichnung/,,,,,,,A,x,,,,,,,,,
328,True,True,Gemeindewerke Hohenwestedt GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-hohenwestedt.de/strom/,nicht aktuell,Am Gaswerk 8,24594,Hohenwestedt,https://www.gemeindewerke-hohenwestedt.de,,A,x,,,,,,,,,
329,True,True,Gemeindewerke Holzkirchen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gw-holzkirchen.de/de/Kopfnavigation/Veroeffentlichungspflichten/Stromnetz/Stromnetz.html,nicht aktuell,Industriestraße 8,83607,Holzkirchen,https://www.gw-holzkirchen.de,,A,x,,,,,,,,,
330,True,True,Gemeindewerke Hünxe GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.gemeindewerke-huenxe.de/strom/allgemeine-hinweise/stromkennzeichnung/,,In der Beckkuhl 4,46569,Hünxe,https://www.gemeindewerke-huenxe.de,,R?,,,,,,,,,,
331,True,True,Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach,9.70%,33.30%,3.60%,0.50%,52.90%,0.00%,100.00%,37.40%,20.59%,70.70%,7.64%,1.06%,0.00%,79.41%,360.0,0.0003,764.3312101910831,https://www.stadtwerke-ramstein.de/fileadmin/dokumente/Strom/pdf/Stromkennzeichnung/Stromkennzeichung_Huetschenhausen_2017.pdf,,,,,,,A,x,,,,,,,,,
332,True,True,Gemeindewerke Kahl Versorgungsgesellschaft mbH,2.10%,4.50%,1.10%,0.10%,52.90%,39.30%,100.00%,5.70%,4.46%,9.55%,2.34%,0.21%,83.44%,12.10%,49.0,0.0001,104.033970276009,https://www.gemeindewerke-kahl.de/index.php/strom/stromkennzeichnung,,,,,,,A,x,,,,,,,,,
333,True,True,Gemeindewerke Kiefersfelden,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-kiefersfelden.de/strom/vertrieb/energietraegermix/,nicht aktuell,Kufsteiner Straße 17,83088,Kiefersfelden,https://www.gemeindewerke-kiefersfelden.de,,A,x,,?,,,,x,x,,
334,True,True,Gemeindewerke Kirkel GmbH,8.50%,28.80%,3.10%,0.50%,52.90%,6.20%,100.00%,32.40%,18.05%,61.15%,6.58%,1.06%,13.16%,68.79%,357.0,0.0002,757.9617834394901,https://www.gwkirkel.de/strom/infos-rund-um-strom/energietraegermix/,,,,,,,A,x,,,,,,,,,
335,True,True,Gemeindewerke Kleinblittersdorf GmbH & Co. KG,0.40%,0.70%,0.40%,0.00%,52.90%,45.60%,100.00%,1.10%,0.85%,1.49%,0.85%,0.00%,96.82%,2.34%,8.0,0.0,16.985138004246302,https://www.kommpower.de/stromkennzeichnung/,,,,,,,A,x,,,,,,,,,
