Lichtblick Liste,RoWo Liste,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
True,,Energieversorgung Kranenburg GmbH,0.39%,1.39%,0.23%,0.03%,52.94%,45.02%,100.00%,1.65%,0.83%,2.95%,0.49%,0.06%,95.67%,3.51%,15.0,0.0,31.8742031449214,http://www.ev-kranenburg.de/info-service/downloads/,,,,,,,,,,,,,,,,,
True,,Energieversorgung Marienberg GmbH,5.70%,19.90%,7.50%,0.30%,52.90%,13.70%,100.00%,27.70%,12.10%,42.25%,15.92%,0.64%,29.09%,58.81%,230.0,0.0002,488.322717622081,https://www.energie-marienberg.de/stromkennzeichnung.html,,,,,,,,,,,,,,,,,
True,,Energieversorgung Michelfeld GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,http://web80001.web80.serverdienst.net/verantwortung.html,,,,,,,,,,,,,,,,,
True,,Energieversorgung Ottobrunn GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.ev-ottobrunn.de/strom/stromkennzeichnung/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Energieversorgung Pirna GmbH,7.20%,22.10%,16.10%,1.30%,50.40%,2.90%,100.00%,39.50%,14.52%,44.56%,32.46%,2.62%,5.85%,79.64%,297.0,0.0002,598.790322580645,https://www.energie-pirna.de/de/Strom/Strom/Energietraegermix-2017.pdf,,,,,,,,,,,,,,,,,
True,,Energieversorgung Rodau GmbH,0.00%,0.00%,0.00%,0.00%,52.94%,47.06%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.ev-rodau.de/Navigation/Rodaustrom/,,,,,,,,,,,,,,,,,
True,,Energieversorgung Rupert Heider & Co. KG,18.10%,22.20%,5.70%,0.90%,52.90%,0.20%,100.00%,28.80%,38.43%,47.13%,12.10%,1.91%,0.42%,61.15%,243.0,0.0005,515.923566878981,https://www.heider-energie.de/energieversorgung/preise-vertraege/stromkennzeichnung,,,,,,,,,,,,,,,,,
True,,Energieversorgung Selb-Marktredwitz GmbH,9.20%,28.30%,11.30%,1.70%,49.20%,0.30%,100.00%,41.30%,18.11%,55.71%,22.24%,3.35%,0.59%,81.30%,332.0,0.0002,653.543307086614,https://www.esm-selb.de/fileadmin/speciality_distribution/public/images/esm/desktop/produkte/strom/download/ESM_Stromkennzeichnung_Grafik_2017.pdf,,,,,,,,,,,,,,,,,
True,,Energie von nebenan - eine Marke der Stadtwerke Herne AG,5.10%,21.40%,9.80%,0.70%,43.70%,19.30%,100.00%,31.90%,9.06%,38.01%,17.41%,1.24%,34.28%,56.66%,244.0,0.0001,433.392539964476,https://www.energie-von-nebenan.de/oekostrom/stromkennzeichnung.html,,,,,,,,,,,,,,,,,
True,,Energiewerk Ortenau Energiegesellschaft GmbH & Co. KG,3.20%,9.30%,2.80%,0.60%,52.90%,31.20%,100.00%,12.70%,6.79%,19.75%,5.94%,1.27%,66.24%,26.96%,105.0,0.0001,222.929936305732,https://www.ewo-energie.de/,,,,,,,,,,,,,,,,,
True,,Energie wie wir - eine Marke der swb Vertrieb Bremen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.energie-wie-wir.de/service/haeufige-fragen/strom-wie-wir,nicht aktuell,,,,,,,,,,,,,,,,
True,,energis GmbH,9.40%,32.30%,3.40%,0.60%,52.90%,1.40%,100.00%,36.30%,19.96%,68.58%,7.22%,1.27%,2.97%,77.07%,349.0,0.0003,740.976645435244,https://www.energis.de/produkte/strom/stromkennzeichnung_und_standard_stromverbrauch,,,,,,,,,,,,,,,,,
True,,energy4u GmbH & Co. KG,0.00%,0.00%,0.00%,0.00%,47.10%,52.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.energy4u.de/privatkunden/,,,,,,,,,,,,,,,,,
True,,enerSwitch - eine Marke der EWV Energie- und Wasser-Versorgung GmbH Stolberg,9.80%,32.70%,5.40%,0.60%,49.00%,2.50%,100.00%,38.70%,19.22%,64.12%,10.59%,1.18%,4.90%,75.88%,357.0,0.0003,700.0,https://www.enerswitch.de/fileadmin/uploads/Enerswitch/Energiemix/Stromkennzeichnung_und_Zertifizierung.pdf,,,,,,,,,,,,,,,,,
True,,enno energie GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.enno-energie.de/ueber-uns/,,,,,,,,,,,,,,,,,
True,,ENPURE - eine Marke der Vattenfall Real Estate Energy Sales GmbH,0.40%,11.30%,11.10%,0.90%,52.90%,23.40%,100.00%,23.30%,0.85%,23.99%,23.57%,1.91%,49.68%,49.47%,162.0,0.0,343.312101910828,https://www.enpure.de/apis/document/35af7b00-eba2-4645-be9c-eb29a5e200a6,,,,,,,,,,,,,,,,,
True,,Enspire Energie - eine Marke der Stadtwerke Konstanz GmbH,0.00%,0.00%,0.00%,0.00%,47.10%,52.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.enspire-energie.de/public/uploads/2018/11/enspire-stromkennzeichnung.pdf,FEHLER mit EEG,,,,,,,,,,,,,,,,
True,,ENSTROGA AG,3.98%,12.24%,4.58%,0.73%,52.94%,25.53%,100.00%,17.55%,8.46%,26.01%,9.73%,1.55%,54.25%,37.29%,143.0,0.0001,303.867403314917,https://www.enstroga.de/enstroga/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,envitra - eine Marke der DEG Deutsche Energie GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://envitra.de/strom/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,Erdgas Mittelsachsen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.e-ms.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Erdgas Schwaben GmbH,6.30%,19.50%,7.30%,1.20%,50.90%,14.70%,99.90%,28.00%,12.83%,39.71%,14.87%,2.44%,29.94%,57.03%,229.0,0.0002,466.395112016293,https://www.erdgas-schwaben.de/files/erdgas-schwaben/downloads/privatkunden/strom/schwaben%20strom%20waerme/Stromkennzeichnung_2018_quer_weiss.pdf,,,,,,,,,,,,,,,,,
True,,Erdgas Südwest GmbH,10.00%,12.30%,1.40%,1.10%,52.90%,22.30%,100.00%,14.80%,21.23%,26.11%,2.97%,2.34%,47.35%,31.42%,118.0,0.0003,250.530785562633,https://www.erdgas-suedwest.de/strom/nat%C3%BCrlichstrom-regio?file=files/produkte/natuerlichstrom-regio-Stromkennzeichnung.pdf,,,,,,,,,,,,,,,,,
True,,ErmstalEnergie Dettingen an der Erms GmbH & CO. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.ermstalenergie.de/privat-gewerbekunden/ermstalstrom-natur/mehr-infos-zu-ermstalstrom-natur/stromkennzeichnung.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,e-rp GmbH,3.90%,12.50%,4.60%,0.70%,52.90%,25.40%,100.00%,17.80%,8.28%,26.54%,9.77%,1.49%,53.93%,37.79%,144.0,0.0001,305.73248407643297,https://www.e-rp.de/de/Privatkunden/Strom/Mitteilungspflichten/Stromkennzeichnung/ERP-Preisblaetter-Strom-Stromkennzeichnung-171106-WEB.pdf,,,,,,,,,,,,,,,,,
True,,EUROGATE Technical Services GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www1.eurogate.de/Leistungen/Hafentechnik/(tab)/1752,nicht aktuell,,,,,,,,,,,,,,,,
True,,EVE EnergieVersorgung Elbtalaue GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.eve-dan.de/energieversorgung/strom/produkte-preise/,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,,
True,,EVI Energieversorgung Hildesheim GmbH & Co. KG,6.70%,17.40%,3.60%,0.30%,52.90%,19.00%,99.90%,21.30%,14.23%,36.94%,7.64%,0.64%,40.34%,45.22%,191.0,0.0002,405.52016985138,https://www.evi-hildesheim.de/strommix,,,,,,,,,,,,,,,,,
True,,EVI Energieversorgung Ihmert GmbH & Co KG,6.40%,21.70%,10.80%,1.20%,52.90%,7.00%,100.00%,33.70%,13.59%,46.07%,22.93%,2.55%,14.86%,71.55%,259.0,0.0002,549.893842887474,http://www.stadtwerke-hemer.de/de/Strom/Stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,evon Energie - Eine Marke der EVO Vertrieb GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.evon-energie.de/service/energiemix-stromherkunft/,nicht aktuell,,,,,,,,,,,,,,,,
True,,EVS Energieversorgung Schmalkalden GmbH,18.20%,22.30%,5.70%,0.90%,52.90%,0.00%,100.00%,28.90%,38.64%,47.35%,12.10%,1.91%,0.00%,61.36%,243.0,0.0005,515.923566878981,http://www.energie-schmalkalden.de/stromkennzeichnung-gem-42-energiewirtschaftsgesetz/,,,,,,,,,,,,,,,,,
True,,EVU Langenpreising,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.vg-wartenberg.de/langenpreising/evu-stromvertrieb/stromkennzeichnung,nicht aktuell,,,,,,,,,,,,,,,,
True,,EVU Markt Kipfenberg,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.evu-kipfenberg.de/Stromkennzeichnung,nicht aktuell,,,,,,,,,,,,,,,,
True,,EVU Späth e.K,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358.0,0.0002,760.084925690021,https://sowa-strom.de/download/an5upo77u62sbn43p5f01dun23u/Stromkennzeichnung_Spaeth_2017.pdf,,,,,,,,,,,,,,,,,
True,,E-Werk Gerolsheim,8.70%,28.60%,8.40%,1.30%,52.90%,0.00%,99.90%,38.30%,18.47%,60.72%,17.83%,2.76%,0.00%,81.32%,323.0,0.0002,685.774946921444,https://www.e-werk-gerolsheim.de/_Resources/Persistent/5aed286b3075b0c53e045f621bf31d8edba00a06/2017_Stromkennzeichnung_Gerolsheim.pdf,,,,,,,,,,,,,,,,,
True,,EW Geiger GmbH,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358.0,0.0002,760.084925690021,https://ewerk-geiger.de/download/anppohbqe5kf2rsgt13t7qf6f2c/Stromkennzeichnung_Geiger_2017.pdf,,,,,,,,,,,,,,,,,
True,,EWR AG,5.00%,26.90%,2.90%,0.30%,50.10%,14.80%,100.00%,30.10%,10.02%,53.91%,5.81%,0.60%,29.66%,60.32%,279.0,0.0001,559.118236472946,https://www.ewr.de/fileadmin/media/PDF/Produkte/Stromkennzeichnung_EWR_2018_01.pdf,,,,,,,,,,,,,,,,,
True,,ExtraEnergie GmbH,0.00%,0.00%,0.00%,0.00%,49.00%,51.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.extraenergie.com/sites/default/files/pictures/content_img/18092018_Stromkennzeichnung_extraenergie.png,,,,,,,,,,,,,,,,,
True,,Fair Trade Power Deutschland GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.fairtradepower.de/electricity.php,,,,,,,,,,,,,,,,,
True,,FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.fanergie.de/wp-content/uploads/2018/11/FAN_Stromkennzeichnung_2018_NEU_V2.pdf,,,,,,,,,,,,,,,,,
True,,First Utility GmbH,8.00%,24.70%,9.30%,1.50%,52.90%,3.60%,100.00%,35.50%,16.99%,52.44%,19.75%,3.18%,7.64%,75.37%,289.0,0.0002,613.588110403397,https://www.shellprivatenergie.de/energiemix,,,,,,,,,,,,,,,,,
True,,FischerStrom KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,FischerStrom KG,FEHLER keine Website,,,,,,,,,,,,,,,,
True,,Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH,7.10%,30.00%,3.20%,0.40%,52.80%,6.50%,100.00%,33.60%,15.04%,63.56%,6.78%,0.85%,13.77%,71.19%,319.0,0.0002,675.847457627119,https://www.new-energie.de/sites/new-energie.de/files/website/main-navigation/strom/stromkennzeichnung_der_new_energie.pdf,,,,,,,,,,,,,,,,,
True,,friesenenergie GmbH,0.00%,0.00%,0.00%,0.00%,52.30%,47.70%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.friesenenergie.de/seite/330825/ver%C3%B6ffentlichungspflichten.html,,,,,,,,,,,,,,,,,
True,,Fulda-Eder Energie GmbH & Co. KG - Eine Marke der Städtische Werke Kassel AG,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177.0,0.0,354.709418837675,https://www.fulda-eder-energie.de/produkte/fee-strom/,,,,,,,,,,,,,,,,,
True,,fünfwerke GmbH & Co. KG,7.00%,31.10%,8.40%,0.60%,52.90%,0.00%,100.00%,40.10%,14.86%,66.03%,17.83%,1.27%,0.00%,85.14%,349.0,0.0002,740.976645435244,https://www.fuenfwerke.de/media/PDF-Dokumente/071-120-Stromkennzeichnung-2018.pdf,,,,,,,,,,,,,,,,,
True,,Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358.0,0.0002,760.084925690021,https://ffew.de/download/ffew_grundversorgung_2019.pdf,FEHLER Deutschland-Mix,,,,,,,,,,,,,,,,
True,,Fuxx-Die Sparenergie GmbH,6.50%,17.36%,5.64%,1.04%,52.94%,16.52%,100.00%,24.04%,13.81%,36.89%,11.98%,2.21%,35.10%,51.08%,203.0,0.0002,431.364215894603,https://www.fuxx-sparenergie.de/rechtliches/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,Gammertinger Energie- und Wasserversorgung GmbH,14.60%,22.60%,5.80%,1.80%,52.90%,2.30%,100.00%,30.20%,31.00%,47.98%,12.31%,3.82%,4.88%,64.12%,236.0,0.0004,501.06157112526495,http://www.gipsprojekt.de/featureGips/ew_gammertingen/EnWGTool/Stromnetz/Grund-und_Ersatzversorgung_-_Sonstiges/Stromkennzeichnung/Stromkennzeichnung-2018-auf-Basis-von-2017.pdf,,,,,,,,,,,,,,,,,
True,,GASAG AG,1.30%,4.00%,1.50%,0.20%,52.90%,40.10%,100.00%,5.70%,2.76%,8.49%,3.18%,0.42%,85.14%,12.10%,47.0,0.0,99.7876857749469,https://www.gasag.de/-/media/files/stromkennzeichnungen/gasag-stromkennzeichnung.ashx,,,,,,,,,,,,,,,,,
True,,GAS IN GmbH,7.20%,30.10%,8.50%,1.30%,52.90%,0.00%,100.00%,39.90%,15.29%,63.91%,18.05%,2.76%,0.00%,84.71%,343.0,0.0002,728.23779193206,https://www.gas-in.de/downloads/Strommix_GasIn_Strom_2017.pdf,,,,,,,,,,,,,,,,,
True,,Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,www.energiegenossenschaft.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Gas- und Wärmedienst Börnsen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gas-und-waermedienst-boernsen.de/crbst_18.html,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,,
True,,Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.erftpower.de/index.php?id=1#faq,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,,
True,,Gebrüder Miller KG Elektrizitätsversorgung,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://gebrueder-miller.de/index.php/stromkennzeichnung.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,GELSENWASSER AG,0.80%,2.60%,1.00%,0.10%,52.90%,42.50%,99.90%,3.70%,1.70%,5.52%,2.12%,0.21%,90.23%,7.86%,31.0,0.0,65.8174097664544,https://www.gelsenwasser.de/strom/allgemeine-hinweise/stromkennzeichnung/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=1&cHash=50823efd7ddafb3b068e5cf817aa806a,,,,,,,,,,,,,,,,,
True,,Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://docs.wixstatic.com/ugd/5aed84_1754fc534ad5487abb15d208b8fd8732.pdf,FEHLER mit EEG,,,,,,,,,,,,,,,,
True,,Gemeindewerke Bayerisch Gmain,9.60%,24.60%,8.00%,1.10%,52.90%,3.70%,99.90%,33.70%,20.38%,52.23%,16.99%,2.34%,7.86%,71.55%,277.0,0.0003,588.110403397028,http://www.bayerisch.gmain.de/medien/energiemix-2018-internet-neu-bg.pdf,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Brüggen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.gemeindewerke-brueggen-wasser-strom.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Gemeindewerke Cadolzburg,9.00%,24.50%,8.60%,0.90%,52.90%,4.20%,100.10%,34.00%,19.11%,52.02%,18.26%,1.91%,8.92%,72.19%,270.0,0.0002,573.248407643312,https://www.werke-cadolzburg.de/strom/downloads-strom/netzzugang-entgelte/,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Dudenhofen,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.vgrd.de/vg_rd/Werke/Strom/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Gemeindewerke Ebersdorf,18.00%,22.10%,5.70%,0.90%,52.90%,0.30%,99.90%,28.70%,38.22%,46.92%,12.10%,1.91%,0.64%,60.93%,242.0,0.0005,513.8004246284501,https://www.ebersdorf.net/media/1993/preisblatt-fuer-die-grund-und-ersatzversorgung-2019.pdf,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Eppelborn GmbH & Co. KG,1.80%,2.90%,1.80%,0.00%,52.90%,40.60%,100.00%,4.70%,3.82%,6.16%,3.82%,0.00%,86.20%,9.98%,36.0,0.0,76.4331210191083,https://www.kommpower.de/wp-content/uploads/2018/10/Herkunftsnachweise_2018-GWE.png,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Everswinkel GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.gemeindewerke-everswinkel.de/de-wAssets/docs/preise/20190101-Preisblatt-Strom.pdf,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Gangkofen,11.80%,31.30%,11.20%,1.60%,44.20%,0.00%,100.10%,44.10%,21.15%,56.09%,20.07%,2.87%,0.00%,79.03%,355.0,0.0001,636.917562724014,https://www.gangkofen.de/stromkennzeichnung-2019,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Grefrath GmbH,8.90%,32.10%,5.30%,0.70%,52.90%,0.10%,100.00%,38.10%,18.90%,68.15%,11.25%,1.49%,0.21%,80.89%,353.0,0.0001,749.469214437367,https://www.gemeindewerke-grefrath.de/stromkennzeichnung,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Heusweiler GmbH,3.00%,4.70%,2.70%,0.00%,52.90%,36.70%,100.00%,7.40%,6.37%,9.98%,5.73%,0.00%,77.92%,15.71%,57.0,0.0001,121.019108280255,https://www.kommpower.de/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach,9.70%,33.30%,3.60%,0.50%,52.90%,0.00%,100.00%,37.40%,20.59%,70.70%,7.64%,1.06%,0.00%,79.41%,360.0,0.0003,764.3312101910831,https://www.stadtwerke-ramstein.de/fileadmin/dokumente/Strom/pdf/Stromkennzeichnung/Stromkennzeichung_Huetschenhausen_2017.pdf,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Kahl Versorgungsgesellschaft mbH,2.10%,4.50%,1.10%,0.10%,52.90%,39.30%,100.00%,5.70%,4.46%,9.55%,2.34%,0.21%,83.44%,12.10%,49.0,0.0001,104.033970276009,https://www.gemeindewerke-kahl.de/index.php/strom/stromkennzeichnung,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Kirkel GmbH,8.50%,28.80%,3.10%,0.50%,52.90%,6.20%,100.00%,32.40%,18.05%,61.15%,6.58%,1.06%,13.16%,68.79%,357.0,0.0002,757.9617834394901,https://www.gwkirkel.de/strom/infos-rund-um-strom/energietraegermix/,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Kleinblittersdorf GmbH & Co. KG,0.40%,0.70%,0.40%,0.00%,52.90%,45.60%,100.00%,1.10%,0.85%,1.49%,0.85%,0.00%,96.82%,2.34%,8.0,0.0,16.985138004246302,https://www.kommpower.de/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Krauchenwies,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-krauchenwies.de/site/Krauchenwies-Gemeindewerke/search/14698674/Lde/index.html?viewSecurityToken=96fc24256e6282d5ea56d7e860b84da272753836&page=1&sort=mimetype&order=desc&query=stromkennzeichnung&_sectionFilter=on&exclusionWords=&finishParam=%7B%27page%27%3A%271%27%7D,nicht aktuell,,,,,,,,,,,,,,,,
True,,Gemeindewerke Lam,10.40%,27.40%,9.80%,1.40%,50.90%,0.10%,100.00%,38.60%,21.18%,55.80%,19.96%,2.85%,0.20%,78.62%,328.0,0.0003,668.024439918534,http://www.markt-lam.de/Dox.aspx?docid=1da01b38-1ac2-438d-98d6-2b7de5bb1c44,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Markt Stockstadt am Main,18.10%,22.20%,5.70%,0.90%,52.90%,0.10%,99.90%,28.80%,38.43%,47.13%,12.10%,1.91%,0.21%,61.15%,243.0,0.0005,515.923566878981,https://www.stockstadt-am-main.de/eigene_dateien/online/2/2018/november/stromkennzeichnung_2019_neu.pdf,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Münchweiler AöR,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gw-muenchweiler.de/index.php?view=content&ID_NODE_VIEW=1&ID_NODE_VIEW2=97&ID_NODE_AKTIV=101&wsp=Strom&sub_hcolor=d10000,nicht aktuell,,,,,,,,,,,,,,,,
True,,Gemeindewerke Ruppichteroth,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://gemeindewerkeruppichteroth.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Gemeindewerke St. Michel-Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-st-michel.de/dithmarschenstrom.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,Gemeindewerke Thüngen,10.70%,15.90%,3.70%,0.60%,52.90%,16.20%,100.00%,20.20%,22.72%,33.76%,7.86%,1.27%,34.39%,42.89%,173.0,0.0003,367.303609341826,http://www.markt-thuengen.de/kommunale/strom/stromkennzeichnung.pdf,,,,,,,,,,,,,,,,,
True,,Gemeindewerke Waldfischbach-Burgalben,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-wabu.de/index.php?view=content&ID_NODE_VIEW=2&ID_NODE_AKTIV=2,nicht aktuell,,,,,,,,,,,,,,,,
True,,Gemeindewerke Wickede (Ruhr) GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gwwickede.de/information/stromkennzeichnung.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,Gemeindewerke Wilhermsdorf,9.80%,26.80%,9.40%,0.90%,52.90%,0.20%,100.00%,37.10%,20.81%,56.90%,19.96%,1.91%,0.42%,78.77%,295.0,0.0003,626.326963906582,http://www.markt-wilhermsdorf.de/wp-content/uploads/2018/10/Stromkennzeichnung-2017.pdf,,,,,,,,,,,,,,,,,
True,,Gemeindewerk Kaufungen GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177.0,0.0,354.709418837675,https://www.gemeindewerk-kaufungen.de/produkte/strom/,,,,,,,,,,,,,,,,,
True,,GEO Gesellschaft für Energieversorgung Ostalb mbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.geo-energie-ostalb.de/site/assets/files/1678/geo_stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,,
True,,Getreidemühle Zwiefalten e.G.,19.20%,23.10%,2.70%,2.10%,52.90%,0.00%,100.00%,27.90%,40.76%,49.04%,5.73%,4.46%,0.00%,59.24%,224.0,0.0005,475.58386411889603,https://www.getreidemuehle-zwiefalten.de/gmz/index.php?idcat=3,,,,,,,,,,,,,,,,,
True,,goldgas GmbH,5.40%,16.70%,6.30%,1.10%,52.90%,17.60%,100.00%,24.10%,11.46%,35.46%,13.38%,2.34%,37.37%,51.17%,196.0,0.0001,416.13588110403396,https://www.goldgas.de/fileadmin/resources/downloads/privatkunden/strom/goldgas-2017-Stromkennzeichung-Website.pdf,,,,,,,,,,,,,,,,,
