Anbieter,Ok Power,Grünstrom,Energie & Managment,Verbraucher Niedersachsen,Vergleich Bundesnetzagentur,Telefon,Website,Adresse,Verfügbarkeit
Stadtwerke Zweibrücken GmbH,,true,false,false,false,06332 8740,www.stadtwerke-zw.de/privatkunden/strom/naturstrom/,,regional
Stadtwerk Rheda-Wiedenbrück GmbH & Co. KG,,,true,false,true,,,Rathausplatz 13 - 33378 Rheda-Wiedenbrück,
Stiebel Eltron GmbH & Co. KG,,,true,false,false,,,,
Stromio GmbH,true,,false,false,false,Stromio Kundenservice Tel. (Festnetz) 0800 / 58 58 224 Tel. (mobil) 0211 / 777 957 10,https://www.gruenwelt.de/,,
Stromversorgung Inzell eG,,,true,false,false,,,,
Stromversorgung Neunkirchen GmbH,,true,false,false,false,09123 1730,www.stwl.lauf.de/de/Strom/Oekostrom/Sie-wollen-Strom-aber-natuerlich.html,,regional
StromVersorgung Ruhpolding GmbH,,,true,false,false,,,,
Stromvertrieb Backnang GmbH & Co. KG,,,true,false,true,,,Schlachthofstraße 6-10 - 71512 Backnang,
STWB Stadtwerke Bamberg GmbH,,,true,false,false,,,,
StWL Städtische Werke Lauf a.d. Pegnitz GmbH,,true,false,false,false,09123 1730,www.stwl.lauf.de/de/Strom/Oekostrom/Sie-wollen-Strom-aber-natuerlich.html,,regional
susiEnergie GmbH,true,,true,false,true,Tel. 0800 / 7874123,,Gerberstraße 7 - 88250 Weingarten,
SVO Vertrieb GmbH,,,,true,false,,,,
SWV Regional GmbH,,,true,false,true,,,Nordfeldstraße 5 - 33775 Versmold,
Team Energie GmbH & Co. KG,,,true,false,false,,,,
Technische Werke Schussental GmbH & Co KG,true,,true,false,true,Tel. 0751 / 804-4980,www.tws.de,Schussenstraße 22 - 88212 Ravensburg,
Teutoburger Energie Netzwerk eG,,,,true,true,,,Höhenweg 14 - 49170 Hagen a. T. W.,
Total Energie Gas GmbH,,,true,false,true,,,Höhenstraße 17 - 70736 Fellbach,
Überlandwerk Leinetal GmbH,,,,true,false,,,,
Verbandsgemeindewerk Dannstadt-Schauernheim,,true,false,false,false,06231 4010,www.vg-werk-dannstadt-schauernheim.de,,regional
Verbandsgemeindewerke Dudenhofen,,true,false,false,false,06232 6560,www.vgrd.de/vg_rd/Werke/Naturstrom/,,regional
Verbandsgemeindewerke Eisenberg/Ramsen,,true,false,false,false,06351 407100,www.vgwerke-eisenberg.de,,regional
Verbandsgemeindewerke Enkenbach-Alsenborn,,true,false,false,false,06303 913124,www.enkenbach-alsenborn.de,,regional
Verbandsgemeindewerke Hettenleidelheim,,true,false,false,false,0621 585-2010,www.vg-h.de/node/22,,regional
Verbandsgemeindewerke Hochspeyer,,true,false,false,false,06305 710,www.vgw-hochspeyer.de,,regional
Verbands- und Gemeindewerke Rülzheim,,true,false,false,false,07272 70021011,www.gemeindewerke-ruelzheim.de/energie/naturstrom_ru.html,,regional
Versorgungsbetriebe Hann. Münden GmbH,,,,true,false,,,,
Wadersloh Energie GmbH,true,,false,false,false,Tel. 02523 / 950-1888,www.wadersloh-energie.de,,
WEMAG AG,,true,false,false,false,wemio-Ökoaktivstrom: 0385 7552755  WEMAG-Ökoaktivstrom: 0385 7551771  WEMAG Premium-Ökoaktivstrom: 0385 7551771,wemio-Ökoaktivstrom: www.wemag.com/privatkunden/strom/wemio_strom/  WEMAG (Premium-)Ökoaktivstrom: www.wemag.com/geschaeftskunden/strom/klimakollekte,,bundesweit
Westfalica GmbH,,,true,false,true,,,Steinstraße 9 - 32547 Oeynhausen,
WEVG Salzgitter GmbH & Co. KG,,,,true,false,,,,
WEV Warendorfer Energieversorgung GmbH,,,true,false,false,,,,
Wirtschaftsbetriebe der Stadt Norden GmbH - Stadtwerke Norden,,,,true,false,,,,
Wirtschaftsbetriebe der Stadt NSHB Borkum GmbH,,,,true,false,,,,
