Anbieter,Ok Power,Grünstrom,Energie & Managment,Verbraucher Niedersachsen,Vergleich Bundesnetzagentur,Telefon,Website,Adresse,Verfügbarkeit
Enovos Power GmbH,,,,,bna,,,Märkische Straße 109 - 44141 Dortmund,
EnPS Energie Pfalz-Saar GmbH,,,,,bna,,,Georg-Peter-Süß-Str. 2 - 67346 Speyer,
enQu GmbH,,,,,bna,,,Speckenbeker Weg 130 - 24113 Kiel,
ENSO Energie Sachsen Ost AG,,,,,bna,,,Friedrich-List-Platz 2 - 1069 Dresden,
ENSTROGA AG,,,,,bna,,,Alt-Moabit 91 d - 10559 Berlin,
Ensys AG,,,,,bna,,,Vibeler Straße 29 - 60313 Frankfurt/M,
Ensys Solution GmbH,,,,,bna,,,Vibeler Straße 29 - 60313 Frankfurt am Main,
ENTEGA Energie GmbH,true,,false,false,true,Tel. 0800 / 1111 0555,www.entega.de,Frankfurter Straße 100 - 64293 Darmstadt,
EnVersum GmbH,,,,,bna,,,Anckelmannsplatz 1 - 20537 Hamburg,
envia Mitteldeutsche Energie AG,,,,,bna,,,Chemnitztalstraße 13 - 9114 Chemnitz,
EnviTec Energy GmbH & Co. KG,,,,,bna,,,Industriering 10a - 49393 Lohne,
EnviTec Stromkontor GmbH & Co. KG,,,,,bna,,,Industriering 10a - 49393 Lohne,
eprimo GmbH,,,,,bna,,,Flughafenstraße 20 - 63263 Neu-Isenburg,
e-punkt GmbH,,,,,bna,,,Alt-Moabit 96 - 10559 Berlin,
eq strom GmbH & Co. KG,,,,,bna,,,Hauptstraße 44 - 15806 Zossen OT Kallinchen,
erdgas schwaben gmbh,,,,,bna,,,Bayerstraße 43 - 86199 Augsburg,
Erdgas Südwest GmbH,,,true,false,true,,,Siemensstraße 9 - 76275 Ettlingen,
E-Regio GmbH & Co. KG,,,true,false,true,,,Rheinbacher Weg 10 - 53881 Euskirchen-Kuchenheim,
Erhard Bürk-Kauffmann GmbH,,,,,bna,,,Neuffenstraße 27 - 29 - 78056 Villingen-Schwenningen,
Erwin Steigleiter GmbH,,,,,bna,,,Im Sterngarten 7 - 67346 Speyer,
ESDG Energie-Service Dienstleistungsgesellschaft mbH,true,true,false,false,false, ,www.esdg.de,,bundesweit
e-shelter facility services GmbH,,,,,bna,,,Eschborner Landstraße 100 - 60489 Frankfurt am Main,
ESWE Versorgungs AG,true,,false,false,true, ,www.eswe-versorgung.de,Konradinerallee 25 - 65189 Wiesbaden,
E-two-energy GmbH,,,,,bna,,,Karl-Marx-Straße 17 - 16356 Ahrensfelde,
Eurogate Technical Services GmbH,,,,,bna,,,Senator-Borttscheller- Straße 1 - 25768 Bremerhaven,
EVD EnergieVersorgung Deutschland GmbH,,,true,false,true,,,Straße der Nationen 12 - 9111 Chemnitz,
EVH GmbH,true,,false,false,false,Tel. 0800 / 581 33 33,www.evh.de,,
EVO Vertrieb Gm bH,,,,,bna,,,Andréstraße 71 - 63067 Offenbach am Main,
EWE AG,,,,true,false,,,,
E-Werk Meckenheim/Pfalz,,,,,bna,,,Hauptstraße 58 - 67149 Meckenheim,
e-Werk Reinbek-Wentorf GmbH,,,,,bna,,,Hermann-Körner-Straße 61-63 - 21465 Reinbek,
E-Werk Stengle GmbH & Co. KG,,,true,false,false,,,,
E WIE EINFACH Strom & Gas GmbH,,,,,bna,,,Salierring 47-53 - 50677 Köln,
EWR AG,,,,,bna,,,Lutherring 5 - 67545 Worms,
EWS Elektrizitätswerke Schönau Vertriebs GmbH,true,,true,false,false,Tel. 07673 / 8885-0,www.ews-schoenau.de,,
EWV Baesweiler GmbH & Co. KG,,,,,bna,,,Arnold-Sommerfeld-Ring 2 - 52499 Baesweiler,
EWZ Energiewerke Zeulenroda GmbH,,,,,bna,,,Lohweg 8 - 7937 Zeulenroda,
ExtraEnergie GmbH,,,true,false,true,,,Europadamm 2-6 - 41460 Neuss,
EXYTRON GmbH,,,,,bna,,,Schonenfahrerstraße 5 - 18057 Rostock,
FairEnergie GmbH,,,,,bna,,,Hauffstraße 89 - 72762 Reutlingen,
Fair Trade Power Deutschland GmbH,,true,false,false,true,089 2112210,Privatpersonen: www.fairtradepower.de//products.php#pr Geschäftskunden: www.fairtradepower.de//products.php#bu Sondertarife: www.fairtradepower.de//products.php#sp,Vintschgauer Straße 5 - 81547 München,bundesweit
Färber Gas GmbH,,,,,bna,,,de-Vos-Straße 11 - 25524 Itzehoe,
Fernwärmegesellschaft Noll mbH,,,,,bna,,,Gustav-Siegel-Straße 36a - 37235 Hessen Lichtenau,
Fey Energie GmbH & Co. KG,,,,,bna,,,Industriestraße 4a - 61273 Wehrheim,
Filderstadtwerke (Eigenbetrieb der Stadt Filderstadt),,,,,bna,,,Brühlstraße 41 - 70794 Filderstadt,
FirstCon GmbH,,,,,bna,,,An der Ilmenau 12a - 21407 Deutsch Evern,
First Utility GmbH,,,,,bna,,,Dorotheenstraße 64 - 22301 Hamburg,
FlexStrom AG,,,,,bna,,,Reichpietschufer 86-90 - 10785 Berlin,
Föhrer Windkraft GmbH & Co. KG,,,true,false,false,,,,
Frankfurt Energy Holding GmbH,,,,,bna,,,Mergenthalerallee  55-59 - 65760 Eschborn,
Franz-Josef Wieghaus Biogas,,,,,bna,,,Lindenallee 2 - 49681 Garrel,
Franz X. Heinritzi & Söhne GmbH,,,,,bna,,,Wimmerweg 3 - 83052 Bruckmühl,
Franz Ziegenaus,,,,,bna,,,Schiltberger Str. 15 - 86576 Schiltberg,
Freisinger Stadtwerke Versorgungs-GmbH,,,true,false,false,,,,
FREITALER STROM+GAS GMBH,,,,,bna,,,Potschappler Straße 2 - 1705 Freital,
Fresh Energy GmbH,,,,,bna,,,Oranienburger Straße 48 - 10117 Berlin,
Friedel Energie & Service e.K.,,,,,bna,,,Elsterstraße 7 - 4910 Elsterwerda,
Friedrich Mineralölhandel GmbH,,,,,bna,,,Hauptstraße 140 - 8304 Schönheide,
Friesenenergie GmbH,,,true,false,true,,,Helmsteder Straße 1 - 26434 Wangerland,
Fritz Wahr Energie GmbH & Co. KG,,,,,bna,,,Ferdinand-Porsche-Straße 50 - 72202 Nagold,
"Fromholz, Brennstoff- u. Mineralölvertriebs GmbH",,,,,bna,,,Am Thurbruch 3 - 17429 Benz OT Labömitz,
"Frühmesser Mineralölhandelsgesellschaft
mbh & Co. KG",,,,,bna,,,Mozartstraße 73 - 76829 Landau,
FSG Energy GmbH & Co. KG,,,,,bna,,,Heidturmweg 33 - 33100 Paderborn,
Fulminant Energie GmbH,,,,,bna,,,Daimlerstraße 2 - 85748 Garching b. München,
fünfwerke GmbH & Co. KG,,,,,bna,,,Ste.-Foy-Straße 34 - 65549 Limburg an der Lahn,
Fuxx - Die Sparenergie GmbH,,,,,bna,,,Poststraße 14-16 - 20354 Hamburg,
GAG Gasversorgung Ahrensburg GmbH,,,,,bna,,,Manfred-Samusch-Straße 5 - 22926 Ahrensburg,
Gallier Energie GmbH,,,,,bna,,,Berliner Straße 5 - 77694 Kehl,
GASAG Berliner Gaswerke Aktiengesellschaft,,,,,bna,,,Henriette-Herz-Platz 4 - 10178 Berlin,
Gas In GmbH,,,,,bna,,,"An der Halle 400, Nr. 1 - 24143 Kiel",
Gas- und Energiegesellschaft mbH (GEG),,,,,bna,,,Ackerstraße 16 - 6773 Gräfenhainichen,
Gas- und Wasserversorgung Höxter GmbH,,,true,false,false,,,,
Gas- und Wasserversorgung Höxter GmbH & Co. KG,,,,,bna,,,Hermannstraße 6 - 37671 Höxter,
Gasversorgungsgesellschaft mbH Rhein-Erft,,,true,false,true,,,Max-Planck-Straße 11 - 50354 Hürth,
Gasversorgung Westerwald GmbH,,,,,bna,,,Am Alten Bahnhof 2 - 56203 Höhr-Grenzhausen,
Gebrüder Eirich GmbH,,,true,false,false,,,,
Geiger GmbH,,,,,bna,,,Rudolf-Diesel-Straße 5 - 91522 Ansbach,
Gelsenwasser AG,,,,,bna,,,Willy-Brandt-Allee 26 - 45891 Gelsenkirchen,
GemeindeStrom Wadgassen GmbH,,,,,bna,,,Wendelstraße 79 - 66787 Wadgassen,
Gemeindeverwaltung Steißlingen,,,true,false,false,,,,
Gemeindewerke Ammerbuch GmbH,,,,,bna,,,Kirchstraße 6 - 72119 Ammerbuch,
Gemeindewerke Bad Sassendorf GmbH,true,,false,false,false,Tel. 02921 / 50581,,,
Gemeindewerke Bad Sassendorf GmbH & Co. KG,,,,,bna,,,Eichendorffstraße 1 - 59505 Bad Sassendorf,
Gemeindewerke Baiersbronn,,,,,bna,,,Neumühlenweg 11 - 72270 Baiersbronn,
Gemeindewerke Bobenheim-Roxheim GmbH,,true,false,false,true,06233 6020,www.gemeindewerke-boro.de/produkte/strom/naturstrom.html,Wormser Straße 111 - 67227 Frankenthal (Pfalz),regional
Gemeindewerke Bovenden GmbH & Co. KG,,,,true,false,,,,
Gemeindewerke Budenheim AöR,,,,,bna,,,Untere Stefanstraße 65 - 55257 Budenheim,
Gemeindewerke Everswinkel GmbH,,,,,bna,,,Hovestraße 11 - 13 - 48351 Everswinkel,
Gemeindewerke Gundelfingen GmbH,,,true,false,false,,,,
Gemeindewerke Halstenbek,,true,false,false,false,04101 4907112,www.gwhalstenbek.de/aquawatt.html,,regional
Gemeindewerke Hardt,,true,false,false,false,07422 95880,www.hardt-online.de/gemeindewerke,,regional
Gemeindewerke Haßloch GmbH,,true,false,false,false,06324 59940,www.gwhassloch.de/index.php?page=produkte.versorgungsbedingungen#preisblatter_strom,,regional
Gemeindewerke Heikendorf GmbH,,,true,false,false,,,,
Gemeindewerke Hermaringen GmbH,,,true,false,false,,,,
Gemeindewerke Herxheim,,true,false,false,true,07276 50140,www.gemeindewerke-herxheim.de/de/energieversorgung/mehr-zum-sondertarif-naturstrom/,Am Rathaus 6 - 76863 Herxheim,regional
Gemeindewerke Hohenwestedt GmbH,,,,,bna,,,Am Gaswerk 8 - 24594 Hohenwestedt,
Gemeindewerke Hünxe GmbH,,,true,false,true,,,In der Beckkuhl 4 - 46569 Hünxe,
Gemeindewerke Kiefersfelden,,,true,false,false,,,,
Gemeindewerke Lambsheim,,true,false,false,false,06233 51090,www.lambsheim-hessheim.de,,regional
Gemeindewerke Malente GmbH,,,,,bna,,,Neversfelder Straße 12 - 23714 Bad Malente,
Gemeindewerke Münchweiler,,true,false,false,false,06395 92110,www.gemeindewerke-muenchweiler.de,,regional
"Gemeindewerke Murnau
-Eigenbetrieb der Markt Murnau-",,,,,bna,,,Viehmarktplatz 1 - 82418 Murnau am Staffelsee,
Gemeindewerke Oberhaching GmbH,,,,,bna,,,Alpenstraße 11 - 82041 Oberhaching,
Gemeindewerke Peiner Land GmbH & Co. KG,,,,,bna,,,Eichstraße 3 - 31241 Ilsede,
Gemeindewerke Ruppichteroth GmbH,true,,false,false,true,Tel. 02295 / 907000,,Rathausstraße 18 - 43809 Ruppichteroth,
Gemeindewerke Schönkirchen GmbH,,,true,false,false,,,,
Gemeindewerke Schwarzenbruck GmbH,,,,,bna,,,Unterer Zeidlerweg 1 - 90537 Feucht,
Gemeindewerke St. Michel-Energie GmbH,,,,,bna,,,Am Rathaus 8 - 25693 St. Michaelisdonn,
Gemeindewerke Stammbach AöR,,,true,false,false,,,,
Gemeindewerke Stockelsdorf GmbH,,,,,bna,,,Marienburgstraße 7 - 23617 Stockelsdorf,
Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,,,,,bna,,,Rathausplatz 1 - 84416 Taufkirchen (Vils),
Gemeindewerke Umkirch GmbH,,,,,bna,,,Vinzenz-Kremp-Weg 1 - 79224 Umkirch,
Gemeindewerke Waldfischbach-Burgalben,,true,false,false,false,06333 27580,www.energie.waldfischbach-burgalben.de/index.php?view=content&ID_NODE_VIEW=2&ID_NODE_AKTIV=2,,regional
Gemeindewerke Wedemark GmbH,,,,,bna,,,Berliner Str. 3/5 - 30900 Wedemark,
Gemeindewerk Seegebiet Mansfelder Land GmbH,,,,,bna,,,"Pfarrstraße 8 - 6317 Seegebiet Mansfelder Land
- OT Röblingen am See",
Gemeindewerk Sörup GmbH,,,,,bna,,,Schleswiger Straße 3 - 24966 Sörup,
Gemeindliche Werke Hengersberg,,,true,false,false,,,,
"Gemeindliche Werke Hengersberg - Eigenbetrieb
des Marktes Hengersberg",,,,,bna,,,Mimminger Straße 2 - 94491 Hengersberg,
Genek Gesellschaft für Energieeinkauf mbH & Co. KG,,,,,bna,,,Zum Walkmüller 8 - 47269 Duisburg,
Genie Energie Versorgungsgesellschaft mbH,,,,,bna,,,Nymphenburger Straße 185 - 80634 München,
GENO Energie GmbH,,,,,bna,,,Heilbronner Straße 41 - 70191 Stuttgart,
Georg Oest Mineralölwerk GmbH & Co. KG,true,,false,false,true,Tel. 0744 / 1539112,www.oest.de,Bahnhofstr. 5 - 72250 Freudenstadt,
Gesellschaft für Energieversorgung Ostalb mbH,,,,,bna,,,Heidenheimer Straße 35 - 73447 Oberkochen,
"Gesellschaft zur Energieversorgung der kirchlichen und
sozialen Einrichtungen GmbH",,,,,bna,,,Hanferstraße 28 - 79108 Freiburg,
GETEC ENERGIE GmbH,,,,,bna,,,An der Börse 4 - 30159 Hannover,
GETEC Energy Management GmbH,,,,,bna,,,Albert-Vater-Straße 50 - 39108 Magdeburg,
GETEC net AG,,,,,bna,,,Joachimstraße 6 - 30159 Hannover,
GEWI AG,,,,,bna,,,Expo Plaza 10 - 30539 Hannover,
GEW Wilhelmshaven GmbH,,,,true,false,,,,
GfM Gesellschaft für Messdienstleistungen mbH,,,,,bna,,,Siegburger Straße 183 - 50679 Köln,
GGEW Bergstraße AG,,,,,bna,,,Dammstraße 68 - 64625 Bensheim,
Gilbert Energiehandelsgesellschaft mbH,,,,,bna,,,Wetterstraße 30 - 35510 Butzbach,
goldgas GmbH,,,,,bna,,,Ginnheimer Straße 4 - 65760 Eschborn,
GP JOULE Connect GmbH & Co. KG,,,,,bna,,,Ceciliekoog 16 - 25821 Reußenköge,
Green City Power GmbH,,,,,bna,,,Zirkus-Krone-Straße 10 - 80355 München,
Greenline - alternative energien GmbH,,,,,bna,,,Edelmannstraße 22 - 39218 Schönebeck,
Greenpeace Energy eG,true,,true,false,true,Tel. 040 / 808 110-600,www.greenpeace-energy.de,Schulterblatt 120 - 20357 Hamburg,
gridX GmbH,,,,,bna,,,Noppiusstraße 12 - 52062 Aachen,
Grün.power GmbH,,,true,false,true,,,An der Fahrt 5 - 55124 Mainz,
grünES GmbH,,,,,bna,,,Fleischmannstr. 50 - 73728 Esslingen,
GrünHausEnergie GmbH,,,,,bna,,,Wissollstraße 5-43 - 45478 Mülheim an der Ruhr,
GrünStrom Kirchberg GmbH,,,,,bna,,,Schloßstraße 10 - 74592 Kirchberg an der Jagst,
Grünstromwerk GmbH,,,,,bna,,,Oberhafenstraße 1 - 20097 Hamburg,
Grünstromwerk Vertriebs GmbH,,,true,false,true,,,Oberhafenstraße 1 - 20097 Hamburg,
Grünwelt Wärmestrom GmbH,,,,,bna,,,Girmes-Kreuz-Straße 55 - 41564 Kaarst,
GWS Stadtwerke Hameln GmbH,,true,false,false,false,05151 7880,www.stadtwerke-hameln.de/produkte/strom/preise.html#stromtarife,,regional
H. +  R. Bellersheim GmbH,,,,,bna,,,Rheinstraße 45 - 57638 Neitersen,
H & N Bürgerwind GmbH & Co. KG,,,,,bna,,,Nordhackstedter Straße 8 - 24980 Hörup,
Haas GmbH,,,,,bna,,,Lindenstraße 68 - 57627 Hachenburg,
Halberstadtwerke GmbH,,,,,bna,,,Wehrstedter Straße 48 - 38220 Halberstadt,
Hamburg Energie GmbH,,,true,false,true,,,Billhorner Deich 2 - 20539 Hamburg,
Hans Engelke Energie OHG,,,,,bna,,,Tempelhofer Weg 80 - 12099 Berlin,
Hanwha Q CELLS GmbH,,,,,bna,,,Sonnenallee 17-21 - 6766 Bitterfeld-Wolfen,
Harz Energie GmbH & Co. KG,,,,true,false,,,,
HaseEnergie GmbH,,,,,bna,,,Von-Boeselager-Platz 2 - 49577 Eggersmühlen,
Hausstrom GmbH,,,,,bna,,,Nußbaumweg 11 - 4178 Leipzig,
HBL Nord-Energie GmbH,,,,,bna,,,Linnenkamp 40 - 31137 Hildesheim,
Heinrich Fip GmbH & Co. KG,,,,,bna,,,Rheinstraße 36 - 49090 Osnabrück,
Heinrich Klöcker GmbH & Co. KG,true,,false,false,true,Tel. 0286 / 1800744,www.kloecker.de,Ahauser Str. 21 - 46325 Borken,
Heizöl Sistig GmbH,,,,,bna,,,Herseler Weg 1-7 - 53347 Alfter,
Hellweg Energie GmbH,true,,false,false,false,Tel. 0241 / 282 9233,www.hellwegenergie.de,,
Hermann Bantleon GmbH,true,,false,false,true,Tel. 0731 / 3990190,www.bantleon.de,Blaubeurer Straße 32 - 89077 Ulm,
"Hermann Hansen, Einzelunternehmer",,,,,bna,,,Dorfstraße 7 - 25917 Enge-Sande,
Hertener Stadtwerke GmbH,,,,,bna,,,Herner Straße 21 - 45699 Herten,
Herzo Werke GmbH,,,true,false,false,,,,
HGH Service u. Abrechnungen GmbH,,,,,bna,,,Berliner Straße 120 - 10713 Berlin,
HHB Agrarenergie GmbH & Co. KG,,,,,bna,,,Horster Weg 1a - 21698 Harsefeld,
HH-EL Energie Hanse GmbH,,,,,bna,,,Harvestehuder Weg 21 - 20148 Hamburg,
HHLP-Energy GmbH,,,true,false,true,,,Am Grundwasserwerk 12a - 22041 Hamburg,
HKD Handelsgesellschaft für Kirche und Diakonie mbH,true,,false,false,false,Tel. 0431 / 54 44-8844,www.hkd.de,,
Hochsauerland Energie GmbH,true,,false,false,true,Tel. 0290 / 4712 8011,www.hochsauerlandenergie.de,Auf 'm Brinke 11 - 59872 Meschede,
HORIZEN GmbH,,,,,bna,,,Albert-Bassermann-Straße 31 - 68782 Brühl,
Hoyer G.m.b.H.,,,,,bna,,,Rudolf-Diesel-Straße 1 - 27374 Visselhövede,
Hoyer Strom- und Ergas GmbH,,,,,bna,,,Rudolf-Diesel-Straße 1 - 27374 Visselhövede,
IBAENERGIE GmbH,,,,,bna,,,Georgistraße 40 - 9127 Chemnitz,
Ideo Energie GmbH,,,,,bna,,,Stadttor 1 - 40219 Düsseldorf,
In(n) Energie GmbH,,,,,bna,,,Bayernwerkstraße 13 - 84359 Simbach am Inn,
innogy Direkt GmbH,,,,,bna,,,Freistuhl 7 - 44137 Dortmund,
innogy SE,,,,,bna,,,Opernplatz 1 - 45128 Essen,
Innostrom GmbH,,,,,bna,,,"Steigweg 24, Gebäude 3 - 97318 Kitzingen",
Innowatio GmbH,,,true,false,true,,,Katharinenstraße 6 - 4109 Leipzig,
inteligy GmbH,,,,,bna,,,Zollstockgürtel 57-67 - 50969 Köln,
Interconnector GmbH,,,,,bna,,,Durlacher Allee 93 - 76131 Karlsruhe,
J. Knittel Söhne Verwaltungsgesellschaft mbH,,,,,bna,,,Dientzenhoferstr. 6-10 - 36043 Fulda,
JES AG,,,,,bna,,,Rosa-Luxemburg-Straße 19 - 18055 Rostock,
Jorczyk Energie KG,,,,,bna,,,Hans-Heinrich-Warnke-Straße 2 - 29227 Celle,
Josef Dorner Mineraloel - GmbH,,,,,bna,,,Grünstraße 25a - 77723 Gengenbach,
Josef Pauli GmbH,,,,,bna,,,Zollhausstraße 111 - 52353 Düren,
Jura Power GmbH & Co. KG,,,,,bna,,,Milchhofstraße 24 - 92318 Neumarkt i. d. Opf.,
JuraStrom GmbH,,,,,bna,,,Dr.-Boecale-Str. 3 - 92331 Parsberg,
Jürgen Dorst GmbH,,,,,bna,,,Paulinenstraße 1 a - 97645 Ostheim v. d. Rhön,
Just Energy Deutschland GmbH,,,,,bna,,,Kapstadtring 10 - 22297 Hamburg,
KBG Homberg eG,,,,,bna,,,Ostpreußenweg 5 - 34576 Homberg (Efze),
Keep – Kommunale Eisenberger Energiepartner GmbH,,,,,bna,,,Schulstraße 18 - 67304 Eisenberg,
KEHAG Energiehandel GmbH,,,,,bna,,,Im Technologiepark 4 - 26129 Oldenburg,
KESLAR GmbH Energiehandel,true,,false,false,true,Tel. 0831 / 5753027,www.keslar.de,Ostbahnhofstr. 1 - 87437 Kempten (Allgäu),
KEV Energie GmbH,,,,,bna,,,Hindenburgstraße 13 - 53925 Kall,
KEW Karwendel Energie und Wasser GmbH,,,,,bna,,,Innsbrucker Straße 31 - 82481 Mittenwald,
Kleiner 2 Grad GmbH,,,,,bna,,,Brunnenstraße 153 - 10115 Berlin,
KlickEnergie GmbH & Co. KG,,,,,bna,,,Moselstraße 25 - 27 - 41464 Neuss,
Knauber Erdgas GmbH,,,,,bna,,,Endenicher Straße 120-140 - 53115 Bonn,
KO Kosten Optimierte Energie GmbH,,,,,bna,,,Pulsnitzer Straße 1 - 1936 Großnaundorf,
Komm Energie,,,,,bna,,,Bahnhofstraße 1 - 82223 Eichenau,
"Kommunale Energieverbundgesellschaft mbH
Eisenhüttenstadt",,,,,bna,,,Lilienthalring 1A - 15890 Eisenhüttenstadt,
"Kommunalunternehmen
Stadtwerke Pfaffenhofen a. d. Ilm",,,,,bna,,,Weiherer Straße 16 - 85276 Pfaffenhofen,
Korbacher Energiezentrum GmbH & Co. KG,,,,,bna,,,Wildunger Landstraße 14b - 34497 Korbach,
Köthen Energie GmbH,,,,,bna,,,Lelitzer Straße 27b - 6366 Köthen,
Kraftwerk Köhlgartenwiese GmbH,,,,,bna,,,Tegernauer Ortsstraße 9 - 79692 Kleines Wiesental,
KR Buchenhof Bioenergie GmbH & Co. KG,,,,,bna,,,"Austraße 4 - 25365 Klein Offenseth-
Sparrieshoop",
Kreiswerke Main-Kinzig GmbH,,,,,bna,,,Barbarossastraße 26 - 63571 Gelnhausen,
"Krimphoff & Schulte
Mineralöl-Service und Logistik GmbH",,,,,bna,,,Daimlerstraße 2 - 48432 Rheine,
"Kröger Management Windpark Francop GmbH & Co.
KG",,,,,bna,,,Ochsenwerder Landscheideweg 264b - 21037 Hamburg,
KURT GÜNTHER Mineralölhandelsgesellschaft mbH,,,,,bna,,,Hinter der Landwehr 3 - 36199 Rotenburg an der Fulda,
L. Ilzhöfers Nachfolger Inh. Walch KG,,,,,bna,,,Siebentischstraße 16a - 86161 Augsburg,
Landstrom GmbH & Co. KG,,,,,bna,,,Watenstedter Straße 11 - 38384 Gevesleben,
LCG Energy GmbH,,,,,bna,,,Billstraße 28 - 20539 Hamburg,
LE Energy Solutions GmbH,,,,,bna,,,Althener Straße 4 - 4451 Borsdorf,
Leipziger Kommunale Energieeffizienz GmbH,,,,,bna,,,Augustusplatz 7 - 4109 Leipzig,
lekker Energie GmbH,,,,,bna,,,Egellstraße 21 - 13507 Berlin,
Lenz Energie AG,,,,,bna,,,Siemensstraße 3 - 74915 Waibstadt,
Leu Energie GmbH & Co. KG,,,,,bna,,,Bahnhofstraße 2a - 95028 Hof,
LichtBlick SE,true,,false,false,true,Tel. 040 / 80803030,www.lichtblick.de,Zirkusweg 6 - 20359 Hamburg,
Lition Energie GmbH,,,,,bna,,,Wilmersdorfer Straße 98/99 - 10629 Berlin,
lLZHÖFERS Nachf. lnh. Walch KG,true,,false,false,false,Tel. 0821 / 5608027,www.ilzhoefer.com,,
LM WIND LINE Markus A. Henrich,,,,,bna,,,Buchenkamp 1 - 57368 Bilstein,
LogoEnergie GmbH,,,,,bna,,,Münsterstraße 9 - 53881 Euskirchen,
Lohse Biogas GmbH & Co. KG,,,,,bna,,,Kellinghusener Straße 15 - 25581 Hennstedt,
LSW Energie GmbH & Co. KG,,,,,bna,,,Heßlinger Straße 1-5 - 38440 Wolfsburg,
"Ludwig Dalacker & Sohn, Inh. Kurt Dalacker e.K.",,,,,bna,,,Schönberger Straße 16 - 74405 Gaildorf,
Lumenaza GmbH,,,,,bna,,,Kreuzbergstraße 30 - 10965 Berlin,
Luxtrio UG (haftungsbeschränkt),,,,,bna,,,Am Neuländchen 29 - 66787 Wadgassen,
LWD LüchtWelle Deutschland GmbH,,,,,bna,,,August-Krogmann-Straße 194 A - 22159 Hamburg,
M4 Energy eG,,,,,bna,,,Bertold-Brecht-Allee 24 - 1309 Dresden,
Machdasmalanders Stromversorgung GmbH,,,,,bna,,,Große Reichenstr.27 - 20457 Hamburg,
Maier & Korduletsch Energie GmbH,,,,,bna,,,Passauer Straße 30 - 94474 Vilshofen,
MAINGAU Energie GmbH,,,,,bna,,,Ringstraße 4 - 6 - 63179 Obertshausen,
Mainova AG,,true,false,false,false,0800 1144488,www.mainova.de/geschaeftskunden/mittelstand/produkte/strom/oeko-optionen.html,,regional
Mainzer Stadtwerke  Vertrieb und Service GmbH,,,,,bna,,,Rheinallee 41 - 55118 Mainz,
Mainzer Wärme GmbH,,,,,bna,,,Rheinallee 41 - 55118 Mainz,
MANN Naturenergie GmbH & Co. KG,,true,false,false,true,02661 626215,www.mannstrom.de/mann-cent-tarif,Schulweg 8-14 - 57520 Langenbach,bundesweit
Mark-E AG,true,,false,false,false,Tel. 0800 / 123 1000,www.mark-e.de,,
Maschinenringe Deutschland GmbH,,,,,bna,,,Am Maschinenring 1 - 86633 Neuburg/Donau,
max.power GmbH,,,,,bna,,,An der Fahrt 5 - 55124 Mainz,
Max Energy GmbH,,,,,bna,,,August-Wessels-Str.27 - 86156 Augsburg,
medl GmbH,,,,,bna,,,Burgstraße 1 - 45476 Mülheim an der Ruhr,
MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,true,,false,false,false,Tel. 02173 / 9520-222,www.mega-monheim.de,,
mein-strom-direkt GmbH,,,,,bna,,,Kollegienwall 3-4 - 49074 Osnabrück,
meistro Energie GmbH,,,,,bna,,,Nürnberger Straße 58 - 85055 Ingolstadt,
METANK Gas+Strom GmbH,,,,,bna,,,Oldendorfer Straße 37-39 - 49324 Melle,
Meyer Erneuerbare Energien GmbH,,,,,bna,,,Hinterm Holze 10 - 27235 Twistringen,
Mindener Stadtwerke GmbH,,true,false,false,true,0800 5278941,www.mindener-stadtwerke.de/angebote/oekostrom.html,Großer Domhof 3 - 32423 Minden,regional
Mineralöl Harrer GmbH,,,,,bna,,,Am Öferl 7 - 82362 Weilheim,
mivolta GmbH,,,,,bna,,,Am Haag 10 - 82166 Gräfelfing,
MONTANA Energieversorgung GmbH & Co. KG,,,,,bna,,,Dr.-Max-Straße 26 - 82031 Grünwald,
Mundt GmbH Hannover,,,,,bna,,,Davenstedter Straße 146 - 30453 Hannover,
MWEnergy GmbH,,,,,bna,,,Hochstraße 1 - 40670 Meerbusch,
MyEnergy UG (haftungsbeschränkt),,,,,bna,,,Im Bogen 2 - 89362 Offingen,
NaturEnergie + Deutschland GmbH,,true,false,false,true,0800 9999973,www.naturenergieplus.de/oekostrom/tarife/active-002,Heilbronner Straße 40 - 75417 Mühlacker,bundesweit
NatürlicheEnergie EMH GmbH,,,,,bna,,,Auf der Grub 1 - 54472 Monzelfeld,
NATURSTROM AG,,true,false,false,false,naturstrom: 0211 77 900 100 BMW Green Energy: 0211 77900240,naturstrom: www.naturstrom.de/privatkunden/strom/ BMW Green Energy: http://strom.naturstrom.de/bmw-green-energy-powered-by-naturstrom-jetzt-wechseln/,,bundesweit
NaturStromHandel GmbH,,,,,bna,,,Parsevalstraße 11 - 40468 Düsseldorf,
Naturstrom Rheinland-Pfalz GmbH,,,,,bna,,,Schützenstraße 80-82 - 56068 Koblenz,
NaturStrom XL GmbH,,,,,bna,,,Parsevalstraße 11 - 40468 Düsseldorf,
NDW Norddeicher Wind GmbH & Co. KG,,,,,bna,,,Baumstr. 17 - 26506 Norden,
Neander Energie GmbH,,,,,bna,,,Wilhelmstraße 21 - 42489 Wülfrath,
NEB Neue Energie Berlin GmbH & Co. KG,,,,,bna,,,An der Plasche 4 - 16321 Berlin,
Neckermann Strom AG,,,,,bna,,,Südliche Münchner Straße 10 - 82031 Grünwald,
